file,extension,path,lang_event_dialog_0,lang_event_dialog_1,lang_event_dialog_2,lang_event_dialog_3,lang_event_dialog_4,lang_event_dialog_5,lang_event_dialog_6,lang_event_dialog_7,lang_event_dialog_8,lang_event_dialog_9,lang_event_choice_1,lang_event_choice_2,lang_event_dialog_10,lang_event_dialog_11,lang_event_dialog_6a,lang_event_dialog_12,lang_event_dialog_13,lang_event_dialog_14,lang_event_dialog_15,lang_event_dialog_16,lang_event_dialog_17,lang_event_dialog_18,lang_event_dialog_19,lang_event_choice_3,lang_event_choice_4,lang_event_choice_5
elliandchamp1,.lang,events\lang\german\elliandchamp1.lang,"[happy]Ah, Kopfschmerzen. Lass mich nachdenken, es gibt viele Möglichkeiten, Kopfschmerzen zu heilen.///[thinking]Du würdest nichts spüren, wenn ich dir etwas #item_name_amanita# und zerstoßenes #item_name_licorice_poor# mische. Das würde die Kopfschmerzen sicherlich stoppen. Wir könnten sogar etwas #item_name_catnip_good# zum Spaß hinzufügen!///[shocked]Aber ach, das wäre zu stark ... es wäre interessant zu testen, aber nicht das, was wir heute brauchen. Hrmmmm.///[neutral]Weißt du was, lass mich mal sehen, was ich auf Lager habe. Bin gleich wieder da.",[thinking]Was ist los? Ist das dort drüben eine Katze?,"[neutral]Ja, das ist eine. Lass dich nicht von #npc_name_krampy# erschrecken. Das ist unser Arzt.///[thinking]#npc_name_krampy# mag vielleicht etwas seltsam aussehen und sich auch so verhalten, aber ist ganz harmlos. Eigentlich sogar ziemlich hilfreich, wenn du ...",[playful]Aha! Ich habe es gefunden! #item_name_honeycomb#. Das wird deine Kopfschmerzen sofort heilen.,"[happy]Keine dauerhaften Nebenwirkungen. Zumindest, keine bekannten ... noch nicht.///[playful]Was für ein spannendes Experiment du doch sein wirst!","[shocked]Du willst das nicht wirklich essen, oder #npc_name_elli#?","[blushing]Nun, ja. Es ist schließlich nur eine #item_name_honeycomb# ...","[playful]Wenn du eine #item_name_honeycomb# willst, kann ich selbst eine holen. Bienen sind für mich keine Herausforderung.///[neutral]Dann wäre sie frisch und du wüsstest genau, wo sie herkommt. Das wäre viel weniger riskant.","[happy]Danke, aber ich vertraue #npc_name_krampy#. Ich bin sicher, es wird alles gut gehen.",[shocked]#player_name#! Lass #npc_name_elli# nicht diese #item_name_honeycomb# essen. Sag es #npc_name_elli#!,Iss das nicht!,Sieht für mich essbar aus.,"[shocked]Was? Gut. Meine Kopfschmerzen sind sowieso schlimmer geworden, seit ihr beide aufgetaucht seid.///[sad]Ich werde sie einfach wegschlafen ...","[playful]Siehst du? Alles ist völlig in Ordnung. Ich kenne #npc_name_krampy# schon lange. Der beste Arzt, den ich kenne.///[neutral]Du musst lernen, anderen mehr zu vertrauen, #npc_name_champ#.",,"[angry]Was auch immer. Du hattest dieses Mal Glück. Vielleicht bist du ein bisschen [i]zu[/i] vertrauensvoll, #npc_name_elli#.",,,,,,,,,,
elliandchamp2,.lang,events\lang\german\elliandchamp2.lang,"[neutral]Ich habe das für dich gefangen. Ich weiß, dass es kein Vogel oder so etwas ist, aber ich hoffe, es gefällt dir.","[happy]Ich liebe es, danke!","[thinking]Ich meine, das ist nicht viel. Ich kann viel mehr fangen als das. Ich habe tausende von [green]Mäusen[/green] gefangen. Das war nichts.",[playful]Das ist unglaublich. Es bedeutet mir viel.,"[blushing]Ich, äh ... ja. Lass mich einfach wissen, was du brauchst. Ich kann es für dich besorgen. Was auch immer du willst.",[blushing]Ähm ... okay.,"[shocked]Oh? Ähm, Entschuldigung ... möchtest du nicht, dass ich dir Sachen bringe?","[shocked]Nein! Ich meine, ja! Ich meine, ja. Ja. Du kannst mir alles bringen.///[blushing]Das wäre nett.","[blushing]Oh, okay. Cool. Ja, werde ich.",[neutral]Okay.,,,"[thinking]Ja. Ähm, okay. Ja.","[shocked]Oh, hey, #player_name#. Wie lange stehst du schon da?///[blushing]Ich, äh ... ich muss los. Bis dann.",,,,,,,,,,,,
elliandchamp3,.lang,events\lang\german\elliandchamp3.lang,"[happy]Hier ist der Ort, an dem ich trainiere. Ich trainiere mindestens drei Stunden jeden Tag.///[playful]Ich möchte sicherstellen, dass ich jederzeit die beste Version von mir selbst bin.",[blushing]Das ist wirklich beeindruckend.,"[blushing]Danke. Es ist mir wichtig, dass ich stark bleibe. Wenn eine Bedrohung auftaucht, möchte ich bereit sein.","[playful]Ich liebe es, wie sehr du dir selbst verpflichtet bist.","[thinking]Es ist nicht nur für mich, verstehst du. Es ist für #colony_title_with_article#. Ich muss in der Lage sein, die Dinge, die ich liebe, zu schützen.",[neutral]Ich verstehe.,"[angry]Nein, das tust du nicht. Es ist nicht nur #colony_title_with_article#.///[thinking]Es sind auch die Katzen, die ich liebe. Ich möchte nicht, dass ihnen etwas Schlimmes passiert. Ich möchte ...///[angry]Nein, ich [b]muss[/b] in der Lage sein, sie zu schützen. Ich möchte, dass sie sich auf mich verlassen können.///[thinking]Ich möchte, dass du dich auf mich verlassen kannst.","[shocked]Oh, #npc_name_champ# ...",[sad]Entschuldigung. Ich habe zu viel gesagt ...,"[neutral]Nein, das hast du nicht. Ich glaube dir.///[blushing]Ich weiß, dass du #colony_title_with_article# beschützen kannst ... ich weiß, dass du mich beschützen kannst.",,,[thinking]... danke für dein Verständnis.,,,,,,,,,,,,,
garlicsadness,.lang,events\lang\german\garlicsadness.lang,[happy]Hallo.///[neutral]Du siehst einsam aus. Möchtest du etwas Gesellschaft?,"[sad]Oh, du bist es. Sicher, #npc_name_alabaster#.///[sad]Ich weiß wirklich nicht, warum ich hierhergekommen bin. Ich fühlte mich überfordert, denke ich. Es schien das Richtige zu sein.///[neutral]Warum bist du hier?","[thinking]Viele Katzen sagen, dass im Wasser das Leben ist.///[thinking]Vielleicht kann man hier am Ufer Heilung finden, wenn man auf die Wellen hinausschaut.///[neutral]Ich gestehe, dass ich auch beunruhigt war. Ich kam hierher, um nachzudenken und zu reflektieren, wie ich es oft tue, wenn ich mich so fühle.","[shocked]Wirklich? Du fühlst dich auch manchmal traurig und überfordert?///[neutral]Ich dachte, es wäre nur ich.","[sad]Um ehrlich zu sein, habe ich das Gefühl, dass ich meinen Platz in #colony_full_name_with_article# nicht finden kann. So viele Katzen sind großartig bei der Jagd, gute Kampfkatzen oder Sammel-Genies wie du.///[thinking]Was mache ich? Ich bin in ... nichts wirklich gut.","[thinking]Die Antwort liegt direkt vor deinen Augen.///[neutral]Betrachte den mächtigen Ozean. Obwohl weit und tief, besteht er aus den kleinsten Wassertropfen.///[thinking]Wenn jeder dieser Tropfen seinen Platz infrage stellen und verschwinden würde, was würde von dieser schönen Aussicht übrig bleiben?","[playful]Außerdem bist du viel fähiger, als du zu denken scheinst. Du hast es ohne jegliche Hilfe so weit von zu Hause weg geschafft, eine Aufgabe, die viele einschüchternd finden würden, einschließlich mir selbst.","[playful]Danke, #npc_name_alabaster#. Mir geht es viel besser.///[neutral]Ich gehe jetzt nach Hause. Möchtest du mich begleiten?",,,,,,,,,,,,,,,,,,
glimmerstore,.lang,events\lang\german\glimmerstore.lang,"[neutral]Willkommen, #player_name#. Wenn du etwas siehst, das dir gefällt, lass es mich einfach wissen, okay?","[neutral]Dir gehört dieser Gemischtwarenladen, nicht wahr?","[thinking]Ja, das tut er! Du bist die neue Katze in der Stadt, oder? Was kann ich für dich tun?///[happy]Ich bin immer froh zu...","[happy]Hervorragend! Ich benötige viele grundlegende Dinge.///[playful]Die alltäglichen Gegenstände, genau die Art von einfachen Dingen, die ich in diesem ... gemütlichen Etablissement erwarten würde.",[thinking]Mal sehen ... ich brauche drei [green]polierte Glaskugeln[/green] ... zwei [green]Phönixfedern[/green] ... und zwölf [green]Phiolen mit reinem Regenwasser[/green].,[playful]Ist das zu viel verlangt?,"[shocked]Ich meine, ich kann ja mal hinten nachsehen ...","[sad]Danke, #npc_name_spark#, aber ich glaube nicht, dass wir dieser ... wertvollen Kundschaft heute helfen können.///[neutral]Übrigens, ich glaube, ich habe deinen Namen nicht verstanden?","[playful]Du kannst mich #npc_name_glimmer# nennen! Ich vertraue darauf, dass es ein Name ist, den du nicht so schnell vergessen wirst.///[sad]Schade, dass dein Geschäft so schlecht bestückt ist. Ich hoffe, mein nächster Besuch wird produktiver sein.","[thinking]#npc_name_glimmer# ... hast du gesagt, du bräuchtest Regenwasser?///[neutral]Ich glaube, ich habe etwas übrig, wenn du es in der Klinik abholen möchtest.",So unhöflich!,Schien mir vernünftig ...,"[happy]Endlich eine Katze, die es versteht! Ja, ich glaube, das werde ich.","[angry]Die Frechheit dieser Katze! Marschiert hier einfach rein, als ob ihr der Laden gehören würde ...",,"[happy]Ja! Das nächste Mal, wenn diese Katze #npc_name_glimmer# hier aufschlägt, sagen wir einfach, wir hätten geschlossen!","[neutral]Nun, #npc_name_spark#, auch wenn wir irgendeine Kundschaft nicht mögen, verdient sie immer noch mit Respekt behandelt zu werden.///[thinking]Obwohl ich zugeben muss, es ist eine lustige Idee.///[happy]Es wäre einfacher, so zu tun, als ob wir geschlossen hätten, als zu versuchen, eine [green]Phönixfeder[/green] aufzuspüren, oder?","[shocked]Was? Du meinst das ernst? Du denkst, das war eine angemessene Liste von Gegenständen, die ein Gemischtwarenladen führen sollte?///[sad]Vielleicht hast du recht. Vielleicht bin ich einfach ... nicht mehr auf dem Laufenden. Ist das, was die jungen Katzen heutzutage wollen? [green]Phönixfedern[/green] und [green]Phiolen mit reinem Regenwasser[/green]?///[shocked]Ich sollte wohl versuchen, einen Lieferanten zu finden, hmm ...",,,,,,,,
krampyandtalon1,.lang,events\lang\german\krampyandtalon1.lang,"[neutral]Dieses Gebiet ist momentan sicher. Wir haben unser Bestes getan, um die Sicherheit dieser Region zu gewährleisten.","[neutral]Gute Arbeit, #npc_name_jag#. Deine Berichte sind immer nützlich. Du leistest einen großen Beitrag für #colony_title#.///[thinking]Es ist jedoch wichtig, dass wir unsere Grenzen ständig überwachen. Man weiß nie, was passieren könnte, wenn wir nicht wachsam bleiben.///[neutral]Es ist immer unsicher, die Grenzen der Stadt zu verlassen. Ich bin froh, dass du zugestimmt hast, das Gebiet mit mir zu erkunden.","[happy]Danke, #npc_name_talon#. Ich nehme meine Pflicht ernst.",[shocked]#npc_name_krampy#! Was machst du hier?,"[playful]Oh, ein bisschen von diesem, ein bisschen von jenem ... man weiß nie, was man hier draußen finden könnte. Es braucht nur ein bisschen Nachforschung, das ist alles.///[happy]Zum Beispiel habe ich heute dich und #npc_name_jag# gefunden!","[angry]Es ist unsicher für dich, hier zu sein. Kehre sofort in die Stadt zurück.","[playful]Unsicher? Warum? #npc_name_jag# hat gerade gesagt, dass es hier völlig sicher ist. Vielleicht muss ich das nächste Mal, wenn du in der Klinik vorbeikommst, dein Gehör überprüfen.",[angry]#npc_name_krampy#. Geh. Jetzt.,"[shocked]Ich stimme zu, dass #npc_name_krampy# nicht alleine draußen sein sollte, wenn es so viele Gefahren gibt, aber das war ein bisschen hart, findest du nicht?","[angry][hiss]Absolut nicht. #npc_name_krampy# ist ein talentierter Arzt. Wir können es uns nicht leisten, ein solches Gut zu verlieren.///[thinking]Der Schutz von #npc_name_krampy# ist eines der wichtigsten Dinge, die wir für #colony_title_with_article# tun können.",,,"[shocked]Wenn du das sagst, #npc_name_talon# ...",,,,,,,,,,,,,
krampyandtalon2,.lang,events\lang\german\krampyandtalon2.lang,"[thinking]Meine Hypothese war korrekt! Es scheint, dass deine Gesundheit jetzt in ausgezeichnetem Zustand ist, #npc_name_talon#.///[shocked]Obwohl ich dein Altern nicht vollständig umkehren kann, solltest du dich so munter wie ein junges Kätzchen fühlen.",[thinking]... nicht genau.,"[thinking]Hmmm? Warum nicht? Alles in deiner Untersuchung sah zufriedenstellend aus.///[neutral]Schnurrhaare ausgerichtet, Schwanz leicht gekrümmt ... die Zähne sind noch drin, was für eine Katze deines Formats ein medizinisches Wunder ist.///[thinking]Allerdings ist dein linkes Auge immer noch blind. Wir können damit beginnen, Experimente daran durchzuführen, wenn du möchtest.///[playful]Ja! Das wäre in der Tat sehr interessant! Ich habe einige Versorgungsmaterialien mitgebracht ...","[blushing]Nein, #npc_name_krampy#! Ich meine, es geht mir gut. Ich glaube, ich fühle mich einfach immer noch alt ... im Inneren.///[thinking]Ich habe ein erfülltes Leben gelebt, aber es gibt noch so viel mehr zu tun. #colony_full_name_capitalized_with_article# braucht meine Stärke! Jeden Tag muss ich wachsam sein gegenüber allen Bedrohungen von außerhalb unserer Grenzen.///[sad]Ich kann damit umgehen ... aber es war viel in letzter Zeit.",[neutral]Ich verstehe. Du bist gestresst ... emotional.,[angry]Emotional? Was weißt du über meine Gefühle?,"[sad]Nicht so viel wie ich vorhergesagt hatte, scheint es. Ich würde gerne mehr Daten über deinen emotionalen Zustand sammeln, wenn möglich.///[thinking]Sollen wir plaudern? Es könnte deiner allgemeinen Gesundheit helfen.",[sad]Gut. Wir können uns unterhalten.,"[neutral]Ausgezeichnet. Und ich werde in Zukunft öfter solche Hausbesuche machen, um dich zu sehen und zu schauen, ob alles in Ordnung ist. Wenn das für dich okay ist, natürlich.",,,,,,,,,,,,,,,,,
krampyandtalon3,.lang,events\lang\german\krampyandtalon3.lang,"[happy]Heureka! Das ist eine enorme Menge an Kräutern! Hast du die alle selbst gesammelt, #npc_name_talon#?///[shocked]Das wird meinen Vorrat für Tage füllen!","[blushing]Nun, alles geht um Effizienz. Wenn du dich nicht auf das Sammeln von Kräutern konzentrieren musst, kannst du dich auf das Heilen von Kranken konzentrieren.///[playful]Heilen ist deine Spezialität. Du solltest deine Zeit nicht mit Kräutersuche verschwenden, wenn du mit deinen Talenten größere Dinge tun kannst.///[happy]Du kannst diese Kräuter auch für deine wissenschaftlichen Experimente verwenden. Deine Forschung könnte uns allen neues Wissen bringen, das uns allen zugutekommt.","[blushing]Danke, #npc_name_talon#. Das schätze ich sehr.","[playful]Oh, hallo, #player_name#! Schau dir diesen gewaltigen Haufen Kräuter an, den #npc_name_talon# in meinem Auftrag gesammelt hat!///[happy]Ist das nicht der größte Haufen Kräuter, den du je gesehen hast, den eine Katze an einem einzigen Tag gesammelt hat?","[happy]Wahrhaftig, #npc_name_talon#, du hast dich selbst übertroffen. Vielen Dank noch mal für deinen Beitrag.","[blushing]Es ist nichts. Erwähne es nicht.///[neutral]Und auf diese Anmerkung hin, werde ich mich jetzt verabschieden.","[shocked]Meine Güte, was für eine ausgezeichnete Sammlung. #item_name_goldenseal_good# und #item_name_marigold_good#, hervorragend zur Heilung. #item_name_catnip_good#, immer ein Spaß.///[playful]Oh, man muss vorsichtig sein mit #item_name_snake_lily_good# ... Oh, was ist das?///[thinking]Eine einzelne #item_name_red_rose#? Wie interessant ...","[angry]Also gut, ich gehe, damit du sortieren kannst. Auf Wiedersehen #npc_name_krampy#. #player_name#.",,,Das ist es sicher!,"Nein, ist es nicht.",,,,,,,,,,,,,,
museumintroduction,.lang,events\lang\german\museumintroduction.lang,"[happy]Ah, ein Besucher! Ein sehr berühmter Besucher, in der Tat!///[neutral]Willkommen im [purple]Museum[/purple], #player_name#. Als Museumsleitung dieser ehrwürdigen Einrichtung liegt es an mir, dir eine kurze Führung zu geben.///[thinking]Folge mir!","[happy]Das ist die Galerie. Hier findest du alle Kuriositäten, die dem [purple]Museum[/purple] gespendet wurden.///[neutral]Du kannst die Galerie jederzeit durchstöbern.","[happy]Ist das nicht ein wunderbarer Ort? Es ist so schön, einen Ort der anspruchsvollen Kultur hier in #colony_full_name_with_article# zu haben.///[neutral]Du hast die Dekoration sehr gut gemacht, #npc_name_glimmer#.","[playful]Danke dir, #npc_name_elli#! Ich neige dazu, deiner Einschätzung zuzustimmen.///[shocked]Wie du zweifellos erkennen kannst, #player_name#, habe ich dieses Galeriestockwerk mit viel zusätzlichem Platz für neue Ausstellungsstücke gebaut. Das [purple]Museum[/purple] ist momentan etwas ... leer.///[neutral]Wenn du irgendwelche [orange]Kuriositäten[/orange] findest, zögere bitte nicht, sie mir zu bringen!///[neutral]Und das erinnert mich daran, es gibt noch einen weiteren Stopp auf der Tour. Hier entlang, #player_name#.","[neutral]Dies ist der [orange]Kuriositäten-Identifikationstisch[/orange]. Bring alle [green]unidentifizierten Kuriositäten[/green] hierher, um sie identifizieren zu lassen.///[thinking]Ich erwarte nicht, dass irgendeine Katze in der Lage ist, diese seltsamen und schönen Gegenstände richtig zu beurteilen. Deshalb habe ich diesen [orange]Kuriositäten-Identifikationstisch[/orange] zur allgemeinen Nutzung bereitgestellt.///[playful]Natürlich kostenlos, denn ich bin eine großzügige Katze!///[neutral]Sobald eine [green]Kuriosität[/green] identifiziert wurde, kann sie mir als Spende übergeben werden, vorausgesetzt, wir haben nicht bereits eine ihrer Art in der Galerie ausgestellt.///[thinking]Du wirst zweifellos viele [green]unidentifizierte Kuriositäten[/green] ins [purple]Museum[/purple] bringen, nicht wahr, #player_name#?","[playful]Hervorragend! Ich freue mich auf den Tag, an dem das Galeriestockwerk überquillt vor einzigartigen und spannenden Kuriositäten.///[neutral]Denk daran, bring deine [green]unidentifizierten Kuriositäten[/green] zum Tisch, um sie identifizieren zu lassen. Dann bring die identifizierten [green]Kuriositäten[/green] zu mir, um sie dem [purple]Museum[/purple] zu spenden.///[thinking]Und damit endet die Führung! Danke, dass du vorbeigekommen bist, #player_name#. Ich habe keinen Zweifel, dass ich dich hier ziemlich oft sehen werde.","[shocked]Was? Sicherlich kann #leader_title_with_article# den Nutzen einer Verbesserung der kulturellen Erfahrungen für #colony_title# erkennen.///[sad]So traurig. Wenn du deine Meinung änderst, denk daran, dass du immer hierherkommen kannst, um deine [green]unidentifizierten Kuriositäten[/green] identifizieren zu lassen. Ich nehme alle identifizierten [green]Kuriositäten[/green] in Form einer Spende entgegen.///[shocked]Damit endet die Führung! Ich nehme an, du hast wichtigere Dinge zu tun, als mir den ganzen Tag zuzuhören, wie ich über mein [purple]Museum[/purple] spreche.",,,,Natürlich!,Ich glaube nicht.,,,,,,,,,,,,,,
phantomcardinal,.lang,events\lang\german\phantomcardinal.lang,[sad]Wo ist es? Wo habe ich es gelassen? Oh nein ...,"[sad]Es scheint, dass ich einen #item_name_cardinal#, den ich vor ein paar Minuten gefangen habe, verlegt habe.///[thinking]Wunderschönes Exemplar. Leuchtend [red]rotes[/red] Gefieder. Man würde meinen, der wäre schwer zu verlieren.///[angry]Ich habe ihn für einen Moment abgelegt, um eine #item_name_shrew#, die vorbeikam, zu jagen, und jetzt kann ich meinen #item_name_cardinal# nirgendwo finden!",[sad]#player_name# ... hast du irgendwo meinen #item_name_cardinal# gesehen?,"[happy]Wow! Gutes Auge! Er ist genau hier, wo ich ihn gelassen habe!///[playful]Danke, #player_name#. Ich schulde dir wirklich was.","[sad]Wie schade ... ich denke, ich werde heute Nacht einfach hungrig bleiben, bis ich einen anderen finde.",,,,,,Da drüben!,Nein!,,,,,,,,,,,,,,
rosemarygossip,.lang,events\lang\german\rosemarygossip.lang,"[happy]Oh, das erinnert mich an etwas! Habe ich dir schon von den pikanten neuen Details erzählt, die ich darüber erfahren habe, was wirklich in den Medikamenten ist, die #npc_name_krampy# herstellt?///[playful]Oh mein Gott, das ist so eine gute Geschichte!","[sad]Hör zu, das ist alles toll und so, aber ich muss wirklich zurück zur Jagd ...","[playful]Oh, das ist kein Problem! Ich komme mit dir. Ich erzähle dir alles auf dem Weg.","[sad]Senke zumindest deine Stimme, #npc_name_rosemary#. Du verscheuchst ... wirklich alles.","[happy]Ah! #player_name#! Ich habe überall nach dir gesucht.///[neutral]Ich habe gerade eine sehr faszinierende neue Einzelheit über die Medikamente herausgefunden, die #npc_name_krampy# verwendet hat.///[happy]Ich [b]muss[/b] es einfach [b]jemandem[/b] erzählen!","[happy]Oh, wunderbar! Also, du kennst #npc_name_krampy#, richtig? Den Arzt?","[playful][b]NUN[/b], ich habe gehört, wie #npc_name_coco# mit #npc_name_krampy# über ein Medikament gesprochen hat, das #npc_name_krampy# zur Behandlung der Erkältung verwendet hat.","[happy]Es stellte sich heraus, dass #npc_name_krampy# die ganze Zeit ... #item_name_honeycomb# mit #item_name_goldenseal_good# gemischt und es als ''Wunderheilmittel'' bezeichnet hat! Kannst du das glauben?","[playful]Ziemlich verdächtig, oder? Was denkst du darüber, #npc_name_phantom#?","[neutral]... #npc_name_phantom#? Hmm, ich frage mich, wo #npc_name_phantom# wohl hingelaufen ist ...","Natürlich, ich höre zu.",Nein danke!,"[happy]Oh, du bist also auf einer wichtigen Mission, hmm? Das ist in Ordnung, ich werde einfach #npc_name_phantom# erzählen, was ich weiß. Viel Glück da draußen, #player_name#!",[sad]Oh nein ... es geht schon wieder los ...,,,,,,,,,,,,
shopintroduction,.lang,events\lang\german\shopintroduction.lang,"[thinking]Hey, #npc_name_ember#! Ich habe diese #item_name_peppermint_fair# gefunden und frage mich, für wie viel ich sie verkaufen könnte?","[neutral]Hallo, #npc_name_jag#. Ich kann dir 5 [yellow]Miaus[/yellow] dafür anbieten.///[thinking]Hast du schon mal versucht, etwas #item_name_peppermint_fair# in dein Fell zu reiben? Ich habe gehört, dass es deinen Geruch überdecken und die Jagd erleichtern kann.","[playful]Warte, ich kann diese #item_name_peppermint_fair# verwenden, um es einfacher zu machen, Beute zu fangen? Wow, daran hatte ich nicht gedacht!///[happy]Vielleicht behalte ich es. Vielleicht versuche ich später, ein #item_name_rabbit# aufzuspüren.///[shocked]Ich bekomme schon Hunger, wenn ich nur daran denke!","[happy]Weißt du, ich verkaufe hier im Laden #item_name_peppermint_fair#. Hast du Interesse, etwas mehr zu kaufen?///[playful]Immerhin kann ein #item_name_rabbit# ziemlich knifflig sein, also solltest du besser sicherstellen, dass du vollständig vorbereitet bist!","[shocked]Du hast recht! Ich sollte besser sicherstellen, dass ich bereit bin, bevor ich die Stadt verlasse, um zu jagen.///[happy]Ich nehme drei.","[happy]Das ist großartig! Es war gut, Geschäfte mit dir zu machen.///[playful]Weitere zufriedene Kundschaft!","[neutral]Oh, schau mal, es ist #player_name#! Willkommen in meinem Laden.///[thinking]Ich habe viele [orange]nützliche Gegenstände zum Verkauf[/orange]. Du kannst jederzeit stöbern, indem du mit mir sprichst.///[playful]Du kannst auch mit mir sprechen, um für einige [yellow]Miaus[/yellow] [orange]deine überschüssigen Gegenstände zu verkaufen[/orange]. Ich kaufe so ziemlich alles, was du nicht brauchst!///[happy]Nun, schau dich um und lass es mich wissen, wenn du Fragen hast. Ich helfe immer gerne!",,,,,,,,,,,,,,,,,,,
sparkandlainey1,.lang,events\lang\german\sparkandlainey1.lang,[angry]#npc_name_spark#! Wo warst du? Deine Schicht hat vor Stunden begonnen.///[sad]Ich kann diesen Laden nicht ohne dich führen. Ich bin den ganzen Tag herumgelaufen und habe alles gemacht. Mein Rücken tut weh. Meine Pfoten sind wund.///[angry]Hoffentlich gibt es dafür eine gute Erklärung!,[shocked]Ich ... Ich ...,"[angry]Ich will es nicht hören! Ich habe zu viel für uns geopfert. Alles, was ich verlange, ist, dass du eine Schicht arbeitest. Eine einzige Schicht! Dann kann ich eine Pause machen.///[thinking]Aber du bist immer unterwegs. Du bist so unzuverlässig. Du verhältst dich genau wie dein ... genau wie dein ...","[angry]... was? Du traust dich nicht, diesen Satz zu beenden.///[sad]Außerdem war ich nur mit meinen Freunden unterwegs. Sie brauchten Hilfe bei etwas. Wir haben uns aus jeglichem Ärger herausgehalten, versprochen.///[angry]Willst du nicht, dass ich Freunde habe? Ist es das?","[thinking]Du warst wieder mit #npc_name_fliss# und #npc_name_lainey# unterwegs, oder? Schlechte Einflüsse.","[neutral]Oh, schau mal, es ist #player_name#. Gut, eine weitere verantwortungsbewusste Katze.///[shocked]Kinder hören nicht gerne auf ihre Eltern. Vielleicht kannst du #npc_name_spark# etwas Vernunft einreden.","[angry]Okay, gut. Ich hätte pünktlich hier sein sollen. Bist du jetzt zufrieden?","[sad]Weißt du was ... es tut mir leid. Ich hätte nicht so hart zu dir sein sollen, #npc_name_spark#.///[neutral]Ich würde es schätzen, wenn du ab jetzt pünktlich erscheinen würdest. Aber ich hätte dich nicht so anschnauzen müssen. Ich entschuldige mich. Ich werde versuchen, es besser zu machen.","[sad]Was soll ich nur mit meinem Kind machen ...?///[thinking]Ich hätte wirklich nicht so auf #npc_name_spark# losgehen sollen. Ich sollte mich entschuldigen.///[neutral]Es tut mir leid, dass du das sehen musstest, #player_name#.","[sad]Es ist in Ordnung. Ich vergebe dir. Ich habe mich auch ein wenig aufgeregt. Mein Fehler.///[neutral]Nächstes Mal werde ich besser auf die Uhr achten, damit ich nicht zu spät komme.///[thinking]Ich weiß, wie hart du arbeitest, #npc_name_ember#, und ich schätze das.",Arbeit geht vor.,Freunde kommen zuerst.,,,,,,,,,,,,,,
sparkandlainey2,.lang,events\lang\german\sparkandlainey2.lang,"[playful][gray]Psssssssttt!!! #player_name#! Ich bin's, #npc_name_lainey#.[/gray]///[happy][gray]Komm her! Schnell! Versteck dich mit mir![/gray]","[playful]Wohin gehen wir, #npc_name_lainey#?","[playful]Gleich hinter diesen Busch, #npc_name_spark#. Ich schwöre, ich habe in dieser Richtung eine goldene [green]Maus[/green] gesehen!","[shocked]Bist du sicher, #npc_name_lainey#? Du hast dich den ganzen Tag irgendwie seltsam verhalten.","[thinking]Ich bin sicher. Jetzt komm schon, wir sind fast da!","[happy][gray]Mach dich bereit, hier kommt sie![/gray]",[thinking]Hmm ... ich sehe keine goldene [green]Maus[/green] ...,[playful][gray]3 ... 2 ... 1 ...[/gray],[playful][scary][b]BUH!!!!!!!![/b][/scary],[shocked]Waaah! #npc_name_fliss#! #npc_name_lainey#! #player_name#! Warte? Was?,,,"[happy]Haha, du hättest dein Gesicht sehen sollen! Das haben wir seit Jahren nicht mehr gemacht!","[happy]Übrigens, #npc_name_spark#, ich bin #npc_name_lainey#. Du hast den ganzen Tag mit #npc_name_fliss# verbracht. Wir haben dich zweimal erwischt!",,"[playful]Was? Wirklich? Wow, Ihr zwei seid wirklich gute Scherzkekse, was? Ich könnte wirklich einige Tricks von euch beiden lernen.///[happy]#npc_name_fliss#, du bist wirklich gut darin, #npc_name_lainey# zu imitieren. Du musst das oft machen. Ich hatte keine Ahnung!","[happy]Ich bin einfach froh, dass du nicht sauer auf uns bist, #npc_name_spark#. Danke, dass du das sportlich nimmst.///[thinking]Wir haben einmal versucht, #npc_name_jag# einen Streich zu spielen und das lief etwa so, wie man es erwarten könnte ...","[playful]Das war ein lustiger Streich. Gute Arbeit, ihr beiden. Vielleicht kann ich das nächste Mal auch mitmachen?","[neutral]Nun, ich hatte meinen Spaß. Ihr zwei könnt jetzt gehen und abhängen. Ich lasse euch in Ruhe.",[happy]Toll! Vielleicht können die echte #npc_name_lainey# und ich diese goldene [green]Maus[/green] aufspüren.,"[blushing]#npc_name_spark# ... du weißt, dass ich das erfunden habe, oder?",,,,,
