file,extension,path,lang_world_object_name
caverocka,.lang,world_objects\lang\english\caverocka.lang,Cave Rock A
caverockb,.lang,world_objects\lang\english\caverockb.lang,Cave Rock B
caverockc,.lang,world_objects\lang\english\caverockc.lang,Cave Rock C
caverockd,.lang,world_objects\lang\english\caverockd.lang,Cave Rock D
caverocke,.lang,world_objects\lang\english\caverocke.lang,Cave Rock E
caverockf,.lang,world_objects\lang\english\caverockf.lang,Cave Rock F
caverockg,.lang,world_objects\lang\english\caverockg.lang,Cave Rock G
caverockh,.lang,world_objects\lang\english\caverockh.lang,Cave Rock H
caverocki,.lang,world_objects\lang\english\caverocki.lang,Cave Rock I
caverockj,.lang,world_objects\lang\english\caverockj.lang,Cave Rock J
celestiallantern,.lang,world_objects\lang\english\celestiallantern.lang,Celestial Lantern
crystala,.lang,world_objects\lang\english\crystala.lang,Crystal A
crystalb,.lang,world_objects\lang\english\crystalb.lang,Crystal B
crystalc,.lang,world_objects\lang\english\crystalc.lang,Crystal C
crystald,.lang,world_objects\lang\english\crystald.lang,Crystal D
crystale,.lang,world_objects\lang\english\crystale.lang,Crystal E
crystalf,.lang,world_objects\lang\english\crystalf.lang,Crystal F
crystalg,.lang,world_objects\lang\english\crystalg.lang,Crystal G
crystalh,.lang,world_objects\lang\english\crystalh.lang,Crystal H
crystali,.lang,world_objects\lang\english\crystali.lang,Crystal I
crystalj,.lang,world_objects\lang\english\crystalj.lang,Crystal J
crystallamp,.lang,world_objects\lang\english\crystallamp.lang,Blue Crystal Lamp
deadbusha,.lang,world_objects\lang\english\deadbusha.lang,Dead Bush A
deadbushb,.lang,world_objects\lang\english\deadbushb.lang,Dead Bush B
deadbushc,.lang,world_objects\lang\english\deadbushc.lang,Dead Bush C
deadbushd,.lang,world_objects\lang\english\deadbushd.lang,Dead Bush D
deadbushe,.lang,world_objects\lang\english\deadbushe.lang,Dead Bush E
deadtreea,.lang,world_objects\lang\english\deadtreea.lang,Dead Tree A
deadtreeb,.lang,world_objects\lang\english\deadtreeb.lang,Dead Tree B
deadtreec,.lang,world_objects\lang\english\deadtreec.lang,Dead Tree C
deadtreed,.lang,world_objects\lang\english\deadtreed.lang,Dead Tree D
deadtreee,.lang,world_objects\lang\english\deadtreee.lang,Dead Tree E
deadtreef,.lang,world_objects\lang\english\deadtreef.lang,Dead Tree F
deadtreeg,.lang,world_objects\lang\english\deadtreeg.lang,Dead Tree G
deadtreeh,.lang,world_objects\lang\english\deadtreeh.lang,Dead Tree H
deadtreei,.lang,world_objects\lang\english\deadtreei.lang,Dead Tree I
deadtreej,.lang,world_objects\lang\english\deadtreej.lang,Dead Tree J
foundersstone,.lang,world_objects\lang\english\foundersstone.lang,Founders Stone
garden,.lang,world_objects\lang\english\garden.lang,Garden
gnarledtreea,.lang,world_objects\lang\english\gnarledtreea.lang,Gnarled Tree A
gnarledtreeb,.lang,world_objects\lang\english\gnarledtreeb.lang,Gnarled Tree B
gnarledtreec,.lang,world_objects\lang\english\gnarledtreec.lang,Gnarled Tree C
gnarledtreed,.lang,world_objects\lang\english\gnarledtreed.lang,Gnarled Tree D
gnarledtreee,.lang,world_objects\lang\english\gnarledtreee.lang,Gnarled Tree E
greenthornsa,.lang,world_objects\lang\english\greenthornsa.lang,Green Thorns A
greenthornsb,.lang,world_objects\lang\english\greenthornsb.lang,Green Thorns B
greenthornsc,.lang,world_objects\lang\english\greenthornsc.lang,Green Thorns C
greenthornsd,.lang,world_objects\lang\english\greenthornsd.lang,Green Thorns D
greenthornse,.lang,world_objects\lang\english\greenthornse.lang,Green Thorns E
greenthornsf,.lang,world_objects\lang\english\greenthornsf.lang,Green Thorns F
greenthornsg,.lang,world_objects\lang\english\greenthornsg.lang,Green Thorns G
greenthornsh,.lang,world_objects\lang\english\greenthornsh.lang,Green Thorns H
greenthornsi,.lang,world_objects\lang\english\greenthornsi.lang,Green Thorns I
greenthornsj,.lang,world_objects\lang\english\greenthornsj.lang,Green Thorns J
greenthornsk,.lang,world_objects\lang\english\greenthornsk.lang,Green Thorns K
greenthornsl,.lang,world_objects\lang\english\greenthornsl.lang,Green Thorns L
greenthornsm,.lang,world_objects\lang\english\greenthornsm.lang,Green Thorns M
greenthornsn,.lang,world_objects\lang\english\greenthornsn.lang,Green Thorns N
greenthornso,.lang,world_objects\lang\english\greenthornso.lang,Green Thorns O
greenthornsp,.lang,world_objects\lang\english\greenthornsp.lang,Green Thorns P
greenthornsq,.lang,world_objects\lang\english\greenthornsq.lang,Green Thorns Q
greenthornsr,.lang,world_objects\lang\english\greenthornsr.lang,Green Thorns R
lamppost,.lang,world_objects\lang\english\lamppost.lang,Lamppost
mailbox,.lang,world_objects\lang\english\mailbox.lang,Mailbox
oakstumpa,.lang,world_objects\lang\english\oakstumpa.lang,Oak Stump A
oakstumpb,.lang,world_objects\lang\english\oakstumpb.lang,Oak Stump B
oakstumpc,.lang,world_objects\lang\english\oakstumpc.lang,Oak Stump C
oakstumpd,.lang,world_objects\lang\english\oakstumpd.lang,Oak Stump D
oakstumpe,.lang,world_objects\lang\english\oakstumpe.lang,Oak Stump E
oaktreea,.lang,world_objects\lang\english\oaktreea.lang,Oak Tree A
oaktreeb,.lang,world_objects\lang\english\oaktreeb.lang,Oak Tree B
oaktreec,.lang,world_objects\lang\english\oaktreec.lang,Oak Tree C
oaktreed,.lang,world_objects\lang\english\oaktreed.lang,Oak Tree D
oaktreee,.lang,world_objects\lang\english\oaktreee.lang,Oak Tree E
oaktreef,.lang,world_objects\lang\english\oaktreef.lang,Oak Tree F
oaktreeg,.lang,world_objects\lang\english\oaktreeg.lang,Oak Tree G
oaktreeh,.lang,world_objects\lang\english\oaktreeh.lang,Oak Tree H
oaktreei,.lang,world_objects\lang\english\oaktreei.lang,Oak Tree I
oaktreej,.lang,world_objects\lang\english\oaktreej.lang,Oak Tree J
palmtreea,.lang,world_objects\lang\english\palmtreea.lang,Palm Tree A
palmtreeb,.lang,world_objects\lang\english\palmtreeb.lang,Palm Tree B
palmtreec,.lang,world_objects\lang\english\palmtreec.lang,Palm Tree C
palmtreed,.lang,world_objects\lang\english\palmtreed.lang,Palm Tree D
palmtreee,.lang,world_objects\lang\english\palmtreee.lang,Palm Tree E
palmtreef,.lang,world_objects\lang\english\palmtreef.lang,Palm Tree F
palmtreeg,.lang,world_objects\lang\english\palmtreeg.lang,Palm Tree G
palmtreeh,.lang,world_objects\lang\english\palmtreeh.lang,Palm Tree H
palmtreei,.lang,world_objects\lang\english\palmtreei.lang,Palm Tree I
palmtreej,.lang,world_objects\lang\english\palmtreej.lang,Palm Tree J
pinestumpa,.lang,world_objects\lang\english\pinestumpa.lang,Pine Stump A
pinestumpb,.lang,world_objects\lang\english\pinestumpb.lang,Pine Stump B
pinestumpc,.lang,world_objects\lang\english\pinestumpc.lang,Pine Stump C
pinestumpd,.lang,world_objects\lang\english\pinestumpd.lang,Pine Stump D
pinestumpe,.lang,world_objects\lang\english\pinestumpe.lang,Pine Stump E
pinetreea,.lang,world_objects\lang\english\pinetreea.lang,Pine Tree A
pinetreeb,.lang,world_objects\lang\english\pinetreeb.lang,Pine Tree B
pinetreec,.lang,world_objects\lang\english\pinetreec.lang,Pine Tree C
pinetreed,.lang,world_objects\lang\english\pinetreed.lang,Pine Tree D
pinetreee,.lang,world_objects\lang\english\pinetreee.lang,Pine Tree E
pinetreef,.lang,world_objects\lang\english\pinetreef.lang,Pine Tree F
pinetreeg,.lang,world_objects\lang\english\pinetreeg.lang,Pine Tree G
pinetreeh,.lang,world_objects\lang\english\pinetreeh.lang,Pine Tree H
pinetreei,.lang,world_objects\lang\english\pinetreei.lang,Pine Tree I
pinetreej,.lang,world_objects\lang\english\pinetreej.lang,Pine Tree J
purplethornsa,.lang,world_objects\lang\english\purplethornsa.lang,Purple Thorns A
purplethornsb,.lang,world_objects\lang\english\purplethornsb.lang,Purple Thorns B
purplethornsc,.lang,world_objects\lang\english\purplethornsc.lang,Purple Thorns C
purplethornsd,.lang,world_objects\lang\english\purplethornsd.lang,Purple Thorns D
purplethornse,.lang,world_objects\lang\english\purplethornse.lang,Purple Thorns E
purplethornsf,.lang,world_objects\lang\english\purplethornsf.lang,Purple Thorns F
purplethornsg,.lang,world_objects\lang\english\purplethornsg.lang,Purple Thorns G
redcrystallamp,.lang,world_objects\lang\english\redcrystallamp.lang,Red Crystal Lamp
rocka,.lang,world_objects\lang\english\rocka.lang,Rock A
rockb,.lang,world_objects\lang\english\rockb.lang,Rock B
rockc,.lang,world_objects\lang\english\rockc.lang,Rock C
rockd,.lang,world_objects\lang\english\rockd.lang,Rock D
rocke,.lang,world_objects\lang\english\rocke.lang,Rock E
rockf,.lang,world_objects\lang\english\rockf.lang,Rock F
rockg,.lang,world_objects\lang\english\rockg.lang,Rock G
rockh,.lang,world_objects\lang\english\rockh.lang,Rock H
rocki,.lang,world_objects\lang\english\rocki.lang,Rock I
rockj,.lang,world_objects\lang\english\rockj.lang,Rock J
ruinsa,.lang,world_objects\lang\english\ruinsa.lang,Ruins A
ruinsb,.lang,world_objects\lang\english\ruinsb.lang,Ruins B
ruinsc,.lang,world_objects\lang\english\ruinsc.lang,Ruins C
ruinsd,.lang,world_objects\lang\english\ruinsd.lang,Ruins D
ruinse,.lang,world_objects\lang\english\ruinse.lang,Ruins E
ruinsf,.lang,world_objects\lang\english\ruinsf.lang,Ruins F
ruinsg,.lang,world_objects\lang\english\ruinsg.lang,Ruins G
ruinsh,.lang,world_objects\lang\english\ruinsh.lang,Ruins H
ruinsi,.lang,world_objects\lang\english\ruinsi.lang,Ruins I
ruinsj,.lang,world_objects\lang\english\ruinsj.lang,Ruins J
seedmaker,.lang,world_objects\lang\english\seedmaker.lang,Seed Maker
signpost,.lang,world_objects\lang\english\signpost.lang,Signpost
stonefencea,.lang,world_objects\lang\english\stonefencea.lang,Stone Fence A
stonefenceb,.lang,world_objects\lang\english\stonefenceb.lang,Stone Fence B
stonefencec,.lang,world_objects\lang\english\stonefencec.lang,Stone Fence C
stonefenced,.lang,world_objects\lang\english\stonefenced.lang,Stone Fence D
stonemarker,.lang,world_objects\lang\english\stonemarker.lang,Stone Marker
storagecratewo,.lang,world_objects\lang\english\storagecratewo.lang,Storage Crate
streetlight,.lang,world_objects\lang\english\streetlight.lang,Street Light
taskboard,.lang,world_objects\lang\english\taskboard.lang,Task Board
traditionallantern,.lang,world_objects\lang\english\traditionallantern.lang,Traditional Lantern
tropicalbusha,.lang,world_objects\lang\english\tropicalbusha.lang,Tropical Bush A
tropicalbushb,.lang,world_objects\lang\english\tropicalbushb.lang,Tropical Bush B
tropicalbushc,.lang,world_objects\lang\english\tropicalbushc.lang,Tropical Bush C
tropicalbushd,.lang,world_objects\lang\english\tropicalbushd.lang,Tropical Bush D
tropicalbushe,.lang,world_objects\lang\english\tropicalbushe.lang,Tropical Bush E
warpnortheast,.lang,world_objects\lang\english\warpnortheast.lang,Tunnel: Northeast
warpnorthwest,.lang,world_objects\lang\english\warpnorthwest.lang,Tunnel: Northwest
warpsoutheast,.lang,world_objects\lang\english\warpsoutheast.lang,Tunnel: Southeast
warpsouthwest,.lang,world_objects\lang\english\warpsouthwest.lang,Tunnel: Southwest
willowstumpa,.lang,world_objects\lang\english\willowstumpa.lang,Willow Stump A
willowstumpb,.lang,world_objects\lang\english\willowstumpb.lang,Willow Stump B
willowstumpc,.lang,world_objects\lang\english\willowstumpc.lang,Willow Stump C
willowstumpd,.lang,world_objects\lang\english\willowstumpd.lang,Willow Stump D
willowstumpe,.lang,world_objects\lang\english\willowstumpe.lang,Willow Stump E
willowtreea,.lang,world_objects\lang\english\willowtreea.lang,Willow Tree A
willowtreeb,.lang,world_objects\lang\english\willowtreeb.lang,Willow Tree B
willowtreec,.lang,world_objects\lang\english\willowtreec.lang,Willow Tree C
willowtreed,.lang,world_objects\lang\english\willowtreed.lang,Willow Tree D
willowtreee,.lang,world_objects\lang\english\willowtreee.lang,Willow Tree E
willowtreef,.lang,world_objects\lang\english\willowtreef.lang,Willow Tree F
willowtreeg,.lang,world_objects\lang\english\willowtreeg.lang,Willow Tree G
willowtreeh,.lang,world_objects\lang\english\willowtreeh.lang,Willow Tree H
willowtreei,.lang,world_objects\lang\english\willowtreei.lang,Willow Tree I
willowtreej,.lang,world_objects\lang\english\willowtreej.lang,Willow Tree J
yellowthornsa,.lang,world_objects\lang\english\yellowthornsa.lang,Yellow Thorns A
yellowthornsb,.lang,world_objects\lang\english\yellowthornsb.lang,Yellow Thorns B
yellowthornsc,.lang,world_objects\lang\english\yellowthornsc.lang,Yellow Thorns C
yellowthornsd,.lang,world_objects\lang\english\yellowthornsd.lang,Yellow Thorns D
yellowthornse,.lang,world_objects\lang\english\yellowthornse.lang,Yellow Thorns E
yellowthornsf,.lang,world_objects\lang\english\yellowthornsf.lang,Yellow Thorns F
yellowthornsg,.lang,world_objects\lang\english\yellowthornsg.lang,Yellow Thorns G
yellowthornsh,.lang,world_objects\lang\english\yellowthornsh.lang,Yellow Thorns H
yellowthornsi,.lang,world_objects\lang\english\yellowthornsi.lang,Yellow Thorns I
yellowthornsj,.lang,world_objects\lang\english\yellowthornsj.lang,Yellow Thorns J
yellowthornsk,.lang,world_objects\lang\english\yellowthornsk.lang,Yellow Thorns K
yellowthornsl,.lang,world_objects\lang\english\yellowthornsl.lang,Yellow Thorns L
yellowthornsm,.lang,world_objects\lang\english\yellowthornsm.lang,Yellow Thorns M
yellowthornsn,.lang,world_objects\lang\english\yellowthornsn.lang,Yellow Thorns N
yellowthornso,.lang,world_objects\lang\english\yellowthornso.lang,Yellow Thorns O
