file,extension,path,lang_event_dialog_0,lang_event_dialog_1,lang_event_dialog_2,lang_event_dialog_3,lang_event_dialog_4,lang_event_dialog_5,lang_event_dialog_6,lang_event_dialog_7,lang_event_dialog_8,lang_event_dialog_9,lang_event_choice_1,lang_event_choice_2,lang_event_dialog_10,lang_event_dialog_11,lang_event_dialog_6a,lang_event_dialog_12,lang_event_dialog_13,lang_event_dialog_14,lang_event_dialog_15,lang_event_dialog_16,lang_event_dialog_17,lang_event_dialog_18,lang_event_dialog_19,lang_event_choice_3,lang_event_choice_4,lang_event_choice_5
elliandchamp1,.lang,events\lang\english\elliandchamp1.lang,"[happy]Ah, a headache. Let me think, there are a lot of options to cure a headache.///[thinking]You wouldn't feel a thing if I mixed you some #item_name_amanita# and crushed #item_name_licorice_poor#. That would stop the headache for sure. We could even throw in some #item_name_catnip_good# for fun!///[shocked]But alas, that would be too strong... Would be enjoyable to test, but not what we need today. Hrmmmm.///[neutral]Tell you what, let me see what I've got in stock. Be just a minute.",[thinking]What's going on? Is that a cat over there?,"[neutral]Yes, it is. Don't let #npc_name_krampy# scare you. That's our doctor.///[thinking]#npc_name_krampy# might look and act a bit odd, but they're harmless. Actually quite helpful if you--",[playful]Ah ha! I've found it! #item_name_honeycomb#. This will cure your headache right away.,"[happy]No lasting side effects. At least, none known... yet.///[playful]What an exciting experiment you shall be!","[shocked]You aren't actually going to eat that, are you #npc_name_elli#??","[blushing]Well, yes. It's just #item_name_honeycomb# after all...","[playful]If it's #item_name_honeycomb# you want, I can go get some myself. Bees are no challenge for me.///[neutral]Then it would be fresh and you would know exactly where it came from. It would be way less risky.","[happy]Thanks, but I trust #npc_name_krampy#. I'm sure it will be fine.",[shocked]#player_name#! Don't let #npc_name_elli# eat that #item_name_honeycomb#. Tell them!,Don't eat that!,Looks edible to me.,[shocked]What? Fine. My headache has only gotten worse since both of you showed up anyways.///[sad]I'll just go sleep it off...,"[playful]See? It's totally fine. I've known #npc_name_krampy# for a long time. Best doctor I know.///[neutral]You need to learn to put more trust in others, #npc_name_champ#.",,"[angry]Whatever. You got lucky this time. Maybe you are a bit [i]too[/i] trusting, #npc_name_elli#.",,,,,,,,,,
elliandchamp2,.lang,events\lang\english\elliandchamp2.lang,"[neutral]I caught this for you. I know that it's not a bird or anything, but I hope you like it.","[happy]I love it, thank you!","[thinking]I mean, it's not much. I can catch way more than this. I've caught thousands of [green]mice[/green]. This was nothing.",[playful]This is incredible. It means a lot.,[blushing]I uh... Yeah. Just let me know what you need. I can get it for you. Whatever you want.,[blushing]Umm... Ok.,"[shocked]Oh? Um, sorry... do you not want me to bring you stuff?","[shocked]No! I mean, yes! I mean, yeah. Yes. You can bring me anything.///[blushing]That would be nice.","[blushing]Oh, ok. Cool. Yeah, I will.",[neutral]Ok.,,,"[thinking]Yeah. Um, ok. Yeah.","[shocked]Oh, hey #player_name#. How long have you been standing there?///[blushing]I, uh... I gotta go. See ya.",,,,,,,,,,,,
elliandchamp3,.lang,events\lang\english\elliandchamp3.lang,[happy]This is where I workout. I workout at least three hours every day.///[playful]I want to make sure that I am the best version of myself at all times.,[blushing]That is really impressive.,"[blushing]Thanks. It is important to me that I stay strong. When a threat appears, I want to be ready.",[playful]I love how dedicated you are to yourself.,"[thinking]It's not just for myself, you see. It is for #colony_title_with_article#. I need to be able to protect the things that I love.",[neutral]I see.,"[angry]No, you don't. It's not just #colony_title_with_article# either.///[thinking]It's also the cats that I love. I don't want anything bad to happen to them. I want...///[angry]No, I [b]need[/b] to be able to protect them. I want them to be able to depend on me.///[thinking]I want you to be able to depend on me.","[shocked]Oh, #npc_name_champ#...",[sad]Sorry. I've said too much...,"[neutral]No, you didn't. I believe you.///[blushing]I know that you can protect #colony_title_with_article#... I know that you can protect me.",,,[thinking]...Thank you for understanding.,,,,,,,,,,,,,
garlicsadness,.lang,events\lang\english\garlicsadness.lang,[happy]Hello.///[neutral]You look lonesome. Would you mind some company?,"[sad]Oh, it's you. Sure, #npc_name_alabaster#.///[sad]I don't really know why I came here. I was feeling overwhelmed I guess. It seemed like the right thing to do.///[neutral]Why are you here?","[thinking]It is said among many cats that in water, there is life.///[thinking]Perhaps here on the shore there is healing to be found in gazing out upon the waves.///[neutral]I confess that I was troubled as well. I came here to ponder and reflect as I often do when I feel this way.","[shocked]Really? You feel sad and overwhelmed sometimes, too?///[neutral]I thought it was just me.","[sad]To be honest, I feel like I can't find my place in #colony_full_name_with_article#. So many cats are great hunters, good fighters, or expert foragers like you.///[thinking]What do I do? I'm no good at... anything, really.","[thinking]The answer is right before your eyes.///[neutral]Observe the mighty ocean. Though vast and deep, it is made of the smallest drops of water.///[thinking]If each and every one of these drops were to question its place and disappear, what would be left of this beautiful view?","[playful]Besides, you are much more capable than you seem to think. You made it this far from home without any assistance, a task that many would find daunting, including myself.","[playful]Thanks, #npc_name_alabaster#. I'm feeling a lot better.///[neutral]I'm headed home now. Care to accompany me?",,,,,,,,,,,,,,,,,,
glimmerstore,.lang,events\lang\english\glimmerstore.lang,"[neutral]Welcome in, #player_name#. If you see anything you like, just let me know, ok?","[neutral]You are the proprietor of this general store, are you not?","[thinking]Yes, I am! You're the new cat in town, right? What can I do for you?///[happy]I'm always happy to--","[happy]Most excellent! I have need of many basic necessities.///[playful]Mundane items, really. Just the kind of simple things I'd expect to find in this... homely establishment.",[thinking]Let's see... I need three [green]Polished Orbs of Glass[/green]... two [green]Phoenix Feathers[/green]... and twelve [green]Vials of Pure Rainwater[/green].,[playful]Is that too much to ask?,"[shocked]I mean, I can check in the back...","[sad]Thank you, #npc_name_spark#, but I don't believe we will be able to assist this... valuable customer today.///[neutral]By the way, I don't believe I caught your name?",[playful]You can call me #npc_name_glimmer#! I trust it is a name you will not soon forget.///[sad]A pity your business is so poorly stocked. I hope my next visit will prove more productive.,[thinking]#npc_name_glimmer#... Did you say you needed rainwater?///[neutral]I believe I have some to spare if you'd like to come by the clinic to collect it.,That cat was so rude!,Seemed reasonable to me...,"[happy]Finally, a cat who understands! Yes, I believe I will.",[angry]The nerve of that cat! Waltzing in here like they own the place...,,"[happy]Yeah! Next time that #npc_name_glimmer# shows their face, I say we pretend that we're closed!","[neutral]Now #npc_name_spark#, even when we don't like a customer, they still deserve to be treated with respect.///[thinking]Though I will admit, it's a funny idea.///[happy]Would be easier to pretend to be closed than to try to track down a [green]Phoenix Feather[/green], wouldn't it?","[shocked]What? You mean it? You think that was a reasonable list of items for a general store to carry?///[sad]Maybe you're right. Maybe I'm just... out of touch. Is that what the young cats want these days? [green]Phoenix Feathers[/green] and [green]Vials of Pure Rainwater[/green]?///[shocked]Guess I better try to find a supplier, huh...",,,,,,,,
krampyandtalon1,.lang,events\lang\english\krampyandtalon1.lang,[neutral]This area is secure for the moment. We have done our best to ensure the safety of this region.,"[neutral]Good work, #npc_name_jag#. Your reports are always useful. You do a great deal to serve your #colony_title#.///[thinking]However, it is important that we continue to monitor our borders at all times. You never know what might happen if we don't stay vigilant.///[neutral]It is always unsafe to leave the boundaries of town. I am glad you agreed to survey the area with me.","[happy]Thank you, #npc_name_talon#. I take my duty seriously.",[shocked]#npc_name_krampy#! What are you doing here?,"[playful]Oh, a little bit of this, a little bit of that... You never know what you might find out here. Just takes a bit of investigating, that's all.///[happy]For example, today I found you and #npc_name_jag#!",[angry]It is unsafe for you to be here. Return to town immediately.,"[playful]Unsafe? Why, #npc_name_jag# just said that it was perfectly safe here. Perhaps I'll have to check your hearing the next time you stop by the clinic.",[angry]#npc_name_krampy#. Go. Now.,"[shocked]I agree that #npc_name_krampy# should not be out alone when there are so many dangers, but that was a bit harsh, don't you think?",[angry][hiss]Absolutely not. #npc_name_krampy# is a talented doctor. We cannot afford to lose such an asset.///[thinking]Protecting #npc_name_krampy# is one of the most important things that we can do for #colony_title_with_article#.,,,"[shocked]If you say so, #npc_name_talon#...",,,,,,,,,,,,,
krampyandtalon2,.lang,events\lang\english\krampyandtalon2.lang,"[thinking]My hypothesis was correct! It appears your health is in excellent condition now #npc_name_talon#.///[shocked]Although I cannot reverse your aging entirely, you should feel as sprightly as a young kitten.",[thinking]...Not exactly.,"[thinking]Hmmm? Why not? Everything in your checkup looked satisfactory.///[neutral]Whiskers aligned, tail slightly curved... Teeth are still in, which is a medical anomaly for a cat of your accomplishments.///[thinking]However, your left eye is still blind. We can start running experiments on it if you would like.///[playful]Yes! That would be very interesting indeed! I brought some supplies with me--","[blushing]No, #npc_name_krampy#! I mean, I am fine. I think that I simply still feel old... on the inside.///[thinking]I have lived a full life, but there is still so much more to do. #colony_full_name_capitalized_with_article# needs my strength! Every day I must stay alert to all threats from outside our borders.///[sad]I can handle it... But it has been a lot lately.",[neutral]I see. You are stressed... emotionally.,[angry]Emotionally?? What do you know about my emotions?,"[sad]Not as much as I had predicted, it seems. I would love to gather more data on your emotional state if possible.///[thinking]Shall we chat? It may help your overall health.",[sad]Fine. We may chat.,"[neutral]Excellent. And I'll be making more of these house calls to come visit you from now on and check up on everything. If that's alright with you, of course.",,,,,,,,,,,,,,,,,
krampyandtalon3,.lang,events\lang\english\krampyandtalon3.lang,"[happy]Eureka! That is a tremendous amount of herbs! Did you collect all of these yourself, #npc_name_talon#?///[shocked]This will fill my stock for days!","[blushing]Well, it is all about efficiency, you see. If you don't have to focus on gathering herbs, you can focus on healing patients.///[playful]Healing is your speciality. You shouldn't have to waste your time foraging when you can do greater things with your talents.///[happy]You can also use these herbs for your science experiments. Your research may very well bring new knowledge that will benefit us all.","[blushing]Thank you, #npc_name_talon#. It is much appreciated.","[playful]Oh, hello there #player_name#! Look at this prodigious pile of herbs that #npc_name_talon# collected on my behalf!///[happy]Isn't it the largest pile of herbs you've ever seen a cat gather in a single day?","[happy]Truly, #npc_name_talon#, you've outdone yourself. Thank you again for your contribution.","[blushing]It's nothing. Don't mention it.///[neutral]And on that note, I will now take my leave.","[shocked]My my, what an excellent collection. #item_name_goldenseal_good# and #item_name_marigold_good#, excellent for healing. #item_name_catnip_good#, always fun.///[playful]Oh, one must be careful with this #item_name_snake_lily_good#... Oh, what's this?///[thinking]A single #item_name_red_rose#? How interesting...","[angry]Alright, I'll leave so you can get to sorting. Goodbye #npc_name_krampy#. #player_name#.",,,Sure is!,"Eh, I've done better.",,,,,,,,,,,,,,
museumintroduction,.lang,events\lang\english\museumintroduction.lang,"[happy]Ah, a visitor! A most famous visitor, indeed!///[neutral]Welcome to the [purple]Museum[/purple], #player_name#. As the curator of this hallowed establishment, it falls to me to give you a brief tour.///[thinking]Follow me!",[happy]This is the gallery. Here you will find any curiosities that have been donated to the [purple]Museum[/purple].///[neutral]Feel free to peruse the gallery at any time.,"[happy]Isn't this a wonderful space? It's so nice to have a place of refined culture here in #colony_full_name_with_article#.///[neutral]You've done very well with the decorating, #npc_name_glimmer#.","[playful]Thank you, #npc_name_elli#! I am inclined to agree with your assessment.///[shocked]As you can no doubt tell, #player_name#, I've built this gallery floor with plenty of extra space for new items to exhibit. The [purple]Museum[/purple] is somewhat... empty at the moment.///[neutral]If you find any [orange]curios[/orange], please do not hesitate to bring them to me!///[neutral]And that reminds me, there is one more stop in the tour. This way, #player_name#.","[neutral]This is the [orange]Curio Identification Table[/orange]. Bring any and all [green]Unidentified Curios[/green] here to have them identified.///[thinking]I do not expect just any cat to be able to properly assess these strange and beautiful items. That is why I have made this [orange]Curio Identification Table[/orange] available for general use.///[playful]Free of charge, of course, because I am a generous cat!///[neutral]Once a [green]Curio[/green] has been identified, it can be donated by speaking with me, assuming we do not already have one of its kind on display in the gallery.///[thinking]You will no doubt bring many [green]Unidentified Curios[/green] to the [purple]Museum[/purple], will you not, #player_name#?","[playful]Most excellent! I look forward to the day that the gallery floor is filled to overflowing with unique and exciting curiosities.///[neutral]Remember, bring your [green]Unidentified Curios[/green] to the table to get them identified. Then, bring the identified [green]Curios[/green] to me to donate them to the [purple]Museum[/purple].///[thinking]And that concludes the tour! Thank you for stopping by, #player_name#. I have no doubt I will be seeing you here quite frequently.","[shocked]What? Certainly #leader_title_with_article# can see the benefit of improving the cultural experiences available to our #colony_title#.///[sad]So sad. Well, if you change your mind, remember that you can always come here to get your [green]Unidentified Curios[/green] identified. I'll take any identified [green]Curios[/green] off your paws in the form of a donation.///[shocked]That concludes the tour! I suppose you must have more important things to do than listen to me talk all day about my [purple]Museum[/purple].",,,,Of course I will!,I don't think so.,,,,,,,,,,,,,,
phantomcardinal,.lang,events\lang\english\phantomcardinal.lang,[sad]Where is it? Where did I leave it? Oh no...,"[sad]I seem to have misplaced a #item_name_cardinal# that I caught a few minutes ago.///[thinking]Beautiful specimen. Bright [red]red[/red] plumage. You'd think it would be hard to lose.///[angry]I set it down for a moment to hunt a #item_name_shrew# that wandered by, and now I can't find my #item_name_cardinal# anywhere!",[sad]#player_name#... Have you seen my #item_name_cardinal# anywhere?,"[happy]Wow! Good eye! It's right here where I left it!///[playful]Thanks, #player_name#. I really owe you one.",[sad]What a pity... I guess I'll just go hungry tonight 'til I can find another.,,,,,,It's right over there!,Nope!,,,,,,,,,,,,,,
