file,extension,path,item_uid_do_not_translate,lang_item_name,lang_item_definite_article,lang_item_indefinite_article,lang_item_demonstrative_article,lang_item_description
browncavecricketitem,.lang,items\lang\english\browncavecricketitem.lang,Brown Cave Cricket,Brown Cave Cricket,the,a,this,A small creature with bulging eyes and a crooked body. It likes to hide in dark places.
brownhawkeritem,.lang,items\lang\english\brownhawkeritem.lang,Brown Hawker,Brown Hawker,the,a,this,A lanky brown dragonfly with faint yellow stripes.
bubblewanditem,.lang,items\lang\english\bubblewanditem.lang,Bubble Wand,Bubble Wand,the,a,this,Use this playful item to blow some fun soap bubbles. Single-use.
butterflywingsaccessoryitem,.lang,items\lang\english\butterflywingsaccessoryitem.lang,Butterfly Wings Accessory,Butterfly Wings,the,a,these,Some cat spent a lot of time on these replica butterfly wings to proudly wear on your back.
campfirefurnitureitem,.lang,items\lang\english\campfirefurnitureitem.lang,Campfire Furniture,Campfire,the,a,this,A bright pile of burning logs. Warm and cozy!
captainhataccessoryitem,.lang,items\lang\english\captainhataccessoryitem.lang,Captain Hat Accessory,Captain Hat,the,a,this,This fearsome cap once belonged to the most dangerous pirate in all the Seven Seas.
cardboardcurioitem,.lang,items\lang\english\cardboardcurioitem.lang,Cardboard Curio,Cardboard Curio,the,a,this,It rolls with ease when pushed!
cardinalitem,.lang,items\lang\english\cardinalitem.lang,Cardinal,Cardinal,the,a,this,"A legendary scarlet bird whose beautiful plumage is life-like, even in death."
carpitem,.lang,items\lang\english\carpitem.lang,Carp,Carp,the,a,this,A dark freshwater fish with a prominent dorsal fin.
carvedpumpkinfurnitureitem,.lang,items\lang\english\carvedpumpkinfurnitureitem.lang,Carved Pumpkin Furniture,Carved Pumpkin,the,a,this,"A pumpkin, hollowed out and carved with the image of a wicked grin. A candle flickers inside."
catnipfairitem,.lang,items\lang\english\catnipfairitem.lang,Catnip [Fair],Catnip,the,a,this,A sweet plant with a delicious smell. Liked and valued by almost all cats.
catnipgooditem,.lang,items\lang\english\catnipgooditem.lang,Catnip [Good],Catnip,the,a,this,A sweet plant with an irresistible smell. Liked and valued by almost all cats.
catnippooritem,.lang,items\lang\english\catnippooritem.lang,Catnip [Poor],Catnip,the,a,this,A sweet plant with a tempting smell. Liked and valued by almost all cats.
catnipseedsitem,.lang,items\lang\english\catnipseedsitem.lang,Catnip Seeds,Catnip Seeds,the,a,these,A handful of tiny black seeds yielded from a catnip plant. Sow these in the garden and watch them grow!
catnipseedsrecipeitem,.lang,items\lang\english\catnipseedsrecipeitem.lang,Catnip Seeds Recipe,Catnip Seeds Recipe,the,a,this,Grow catnip in your garden with these seeds! Catnip is well-beloved by nearly all cats and is very valuable.
catplushfurnitureitem,.lang,items\lang\english\catplushfurnitureitem.lang,Cat Plush Furniture,Cat Plush,the,a,this,"A small cat-shaped toy made of very soft fabric, stuffed with fluff."
celestiallampfurnitureitem,.lang,items\lang\english\celestiallampfurnitureitem.lang,Celestial Lamp Furniture,Celestial Lamp,the,a,this,"A tall, otherworldly lantern. Light emanates from the yellow orb near the top, but how it is created is a mystery."
ceremonialcrownaccessoryitem,.lang,items\lang\english\ceremonialcrownaccessoryitem.lang,Ceremonial Crown Accessory,Ceremonial Crown,the,a,this,The type of crown that would be used during a coronation. How did it end up here?
certificatefurnitureitem,.lang,items\lang\english\certificatefurnitureitem.lang,Certificate Furniture,Certificate,the,a,this,A certificate of excellence to hang on your wall. Awarded only to the most accomplished of cats.
championsauraaccessoryitem,.lang,items\lang\english\championsauraaccessoryitem.lang,Champions Aura Accessory,Champion's Aura,the,a,this,Shine with the inner light of a powerful celestial being!
chromaticbatitem,.lang,items\lang\english\chromaticbatitem.lang,Chromatic Bat,Chromatic Bat,the,a,this,A strange fluttering creature that shimmers every color imaginable. Unpredictable in a fight.
clickycurioitem,.lang,items\lang\english\clickycurioitem.lang,Clicky Curio,Clicky Curio,the,a,this,A strange electronic device.
collaraccessoryitem,.lang,items\lang\english\collaraccessoryitem.lang,Collar Accessory,Collar,the,a,this,A cute red collar purchased by a human for their pet.
colorfulgravelfurnitureitem,.lang,items\lang\english\colorfulgravelfurnitureitem.lang,Colorful Gravel Furniture,Colorful Gravel,the,a,this,A layer of tiny multi-colored stones that look like they belong in an aquarium.
concavecurioitem,.lang,items\lang\english\concavecurioitem.lang,Concave Curio,Concave Curio,the,a,this,A mysterious implement made of reflective metal.
conchitem,.lang,items\lang\english\conchitem.lang,Conch,Conch,the,a,this,A greatly prized pearl-white shell. You can almost hear the ocean! This item may be donated to your sand stockpile.
confettibagitem,.lang,items\lang\english\confettibagitem.lang,Confetti Bag,Confetti Bag,the,a,this,This fun item allows you to make confetti rain from the sky until the end of the day. Single-use.
coprinusitem,.lang,items\lang\english\coprinusitem.lang,Coprinus,Coprinus,the,a,this,A stalky fungus with a curative property. Treats poison.
coralitem,.lang,items\lang\english\coralitem.lang,Coral,Coral,the,a,this,"A fiery-red branch of coral, recently washed up on the shore."
corkblockfurnitureitem,.lang,items\lang\english\corkblockfurnitureitem.lang,Cork Block Furniture,Cork Block,the,a,this,A rectangular block made of solid cork with rounded edges.
corkcurioitem,.lang,items\lang\english\corkcurioitem.lang,Cork Curio,Cork Curio,the,a,this,A tiny cylinder of dense cork.
crabitem,.lang,items\lang\english\crabitem.lang,Crab,Crab,the,a,this,A red crustacean with several legs. Careful with the claws!
creditsrecorditem,.lang,items\lang\english\creditsrecorditem.lang,Credits Record,Credits,the,a,this,A music disc that you can play at your den record player. This track is a nostalgic tune.
crinklycurioitem,.lang,items\lang\english\crinklycurioitem.lang,Crinkly Curio,Crinkly Curio,the,a,this,A torn-open wrapper for some long-forgotten object.
crowitem,.lang,items\lang\english\crowitem.lang,Crow,Crow,the,a,this,A clever black bird. Difficult to catch by all but the most skilled hunters.
curiocompactorrecipeitem,.lang,items\lang\english\curiocompactorrecipeitem.lang,Curio Compactor Recipe,Curio Compactor Recipe,the,a,this,Upcycle your unwanted Curios into useful items with this recipe.
cutstonetilefurnitureitem,.lang,items\lang\english\cutstonetilefurnitureitem.lang,Cut Stone Tile Furniture,Cut Stone Tile,the,a,this,Heavy stones cut into squares and rectangles and laid in a pattern.
daisyitem,.lang,items\lang\english\daisyitem.lang,Daisy,Daisy,the,a,this,A pretty little flower with a vibrant yellow center. Known to be toxic to cats. Be careful while handling!
daisyseedsitem,.lang,items\lang\english\daisyseedsitem.lang,Daisy Seeds,Daisy Seeds,the,a,these,Little yellow seeds yielded from a daisy. Sow these in the garden and watch them grow!
daisyseedsrecipeitem,.lang,items\lang\english\daisyseedsrecipeitem.lang,Daisy Seeds Recipe,Daisy Seeds Recipe,the,a,this,"Grow daisies in your garden with these seeds! While pretty to look at, daisies are toxic to cats and should not be consumed."
dancefloorfurnitureitem,.lang,items\lang\english\dancefloorfurnitureitem.lang,Dance Floor Furniture,Dance Floor,the,a,this,A dazzling array of brightly-colored lights arranged in a square grid. Gives off an electronic glow as the color pattern shifts.
darkcandleitem,.lang,items\lang\english\darkcandleitem.lang,Darkcandle,Darkcandle,the,a,this,"These sickly flies burn with a pale, cold fire. Found in the mines."
darkruinsrecorditem,.lang,items\lang\english\darkruinsrecorditem.lang,Dark Ruins Record,Dark Ruins,the,a,this,A music disc that you can play at your den record player. This track is a contemplative tune for the dark places of the world.
diamonditem,.lang,items\lang\english\diamonditem.lang,Diamond,Diamond,the,a,this,An enthralling pale gemstone that is highly prized! This item may be donated to your treasure stockpile.
doveitem,.lang,items\lang\english\doveitem.lang,Dove,Dove,the,a,this,The dove traditionally symbolizes peace. This one was unsuccessful.
dragonwingsaccessoryitem,.lang,items\lang\english\dragonwingsaccessoryitem.lang,Dragon Wings Accessory,Dragon Wings,the,a,these,"Verily, thy back shall look gallant with this dreadful raiment!"
driedrootsitem,.lang,items\lang\english\driedrootsitem.lang,Dried Roots,Dried Roots,the,a,these,"Several robust roots, dried until hardened. This item may be donated to your wood stockpile."
driedrootsrecipeitem,.lang,items\lang\english\driedrootsrecipeitem.lang,Dried Roots Recipe,Dried Roots Recipe,the,a,this,"Several robust roots, dried until hardened. This item may be donated to your wood stockpile."
dryingplantsbundleitem,.lang,items\lang\english\dryingplantsbundleitem.lang,Drying Plants Bundle,Drying Plants Bundle,the,a,this,"Plants strung up to dry, ready to decorate your den walls."
dynamiteitem,.lang,items\lang\english\dynamiteitem.lang,Dynamite,Dynamite,the,a,this,Use this item to instantly destroy all nearby mine rocks! BOOM!
dynamiterecipeitem,.lang,items\lang\english\dynamiterecipeitem.lang,Dynamite Recipe,Dynamite Recipe,the,a,this,Unlocks a new recipe for Dynamite at the Mole Forge anvil. Dynamite may be used to instantly destroy all nearby mine rocks. BOOM!
elixirofhealingitem,.lang,items\lang\english\elixirofhealingitem.lang,Elixir of Healing,Elixir of Healing,the,an,this,A powerful healing tonic made from potent herbs. Heals a massive amount of health and treats poison when consumed.
elixirofhealingrecipeitem,.lang,items\lang\english\elixirofhealingrecipeitem.lang,Elixir of Healing Recipe,Elixir of Healing Recipe,the,an,this,Combine potent herbs into a powerful tonic capable of healing a massive amount of damage as well as curing poison.
emeralditem,.lang,items\lang\english\emeralditem.lang,Emerald,Emerald,the,an,this,A wondrous green gemstone.
emptyitem,.lang,items\lang\english\emptyitem.lang,Empty,Empty,,,,No description.
erminemothitem,.lang,items\lang\english\erminemothitem.lang,Ermine Moth,Ermine Moth,the,an,this,A wooly winged wonder with tiny dark spots.
eyepatchaccessoryitem,.lang,items\lang\english\eyepatchaccessoryitem.lang,Eyepatch Accessory,Eyepatch,the,an,this,A dark leather patch to place over one eye. Yarrr!
facescaraccessoryitem,.lang,items\lang\english\facescaraccessoryitem.lang,Face Scar Accessory,Face Scar,the,a,this,An old scar that never quite healed.
fancyrugfurnitureitem,.lang,items\lang\english\fancyrugfurnitureitem.lang,Fancy Rug Furniture,Fancy Rug,the,a,this,"A large rectangular rug, woven with red and orange threads."
farsightedorbitem,.lang,items\lang\english\farsightedorbitem.lang,Farsighted Orb,Farsighted Orb,the,a,this,"This inscrutable device can point the way towards the nearest downward mine staircase, even one that is concealed, for a short time. Consumed on use."
farsightedorbrecipeitem,.lang,items\lang\english\farsightedorbrecipeitem.lang,Farsighted Orb Recipe,Farsighted Orb Recipe,the,a,this,"Unlocks a new recipe at the Mole Forge anvil. These orbs point towards the nearest downward mine staircase, even one that is concealed, for a short time. Consumed on use."
festivecurioitem,.lang,items\lang\english\festivecurioitem.lang,Festive Curio,Festive Curio,the,a,this,What could its function possibly be?
finchitem,.lang,items\lang\english\finchitem.lang,Finch,Finch,the,a,this,A savory songbird.
flexiblecurioitem,.lang,items\lang\english\flexiblecurioitem.lang,Flexible Curio,Flexible Curio,the,a,this,Some odd fabric material twisted into an elastic ring.
flowervasefurnitureitem,.lang,items\lang\english\flowervasefurnitureitem.lang,Flower Vase Furniture,Flower Vase,the,a,this,A decorative clay pot holding a colorful collection of spring flowers.
foldedblanketfurnitureitem,.lang,items\lang\english\foldedblanketfurnitureitem.lang,Folded Blanket Furniture,Folded Blanket,the,a,this,"A thick blanket with a blue plaid design on top and warm wooly fibers on the other side, folded neatly."
formalcurioitem,.lang,items\lang\english\formalcurioitem.lang,Formal Curio,Formal Curio,the,a,this,This looks like it was important to someone once upon a time.
foxglovefairitem,.lang,items\lang\english\foxglovefairitem.lang,Foxglove [Fair],Foxglove,the,a,this,A deadly flower. Apply to your claws to temporarily increase the damage of all attacks.
foxglovegooditem,.lang,items\lang\english\foxglovegooditem.lang,Foxglove [Good],Foxglove,the,a,this,A fatal flower. Apply to your claws to temporarily increase the damage of all attacks.
foxglovepooritem,.lang,items\lang\english\foxglovepooritem.lang,Foxglove [Poor],Foxglove,the,a,this,A dangerous flower. Apply to your claws to temporarily increase the damage of all attacks.
foxgloveseedsitem,.lang,items\lang\english\foxgloveseedsitem.lang,Foxglove Seeds,Foxglove Seeds,the,a,these,A handful of tiny brown seeds yielded from a foxglove plant. Sow these in the garden and watch them grow!
foxgloveseedsrecipeitem,.lang,items\lang\english\foxgloveseedsrecipeitem.lang,Foxglove Seeds Recipe,Foxglove Seeds Recipe,the,a,these,Grow foxglove in your garden with these seeds! This invigorating plant will increase your strength for a short time.
frogitem,.lang,items\lang\english\frogitem.lang,Frog,Frog,the,a,this,Its days of hopping are over.
fuzzycurioitem,.lang,items\lang\english\fuzzycurioitem.lang,Fuzzy Curio,Fuzzy Curio,the,a,this,A tiny down feather. It tickles!
gardenupgradeiiitem,.lang,items\lang\english\gardenupgradeiiitem.lang,Garden Upgrade II,Garden Upgrade II,the,a,this,Adds 3 additional tillable slots to your garden. Grow more plants at once with this garden expansion!
gardenupgradeiitem,.lang,items\lang\english\gardenupgradeiitem.lang,Garden Upgrade I,Garden Upgrade I,the,a,this,Adds 3 additional tillable slots to your garden. Grow more plants at once with this garden expansion!
ghostbeetleitem,.lang,items\lang\english\ghostbeetleitem.lang,Ghost Beetle,Ghost Beetle,the,a,this,It's difficult to spot these elusive critters in the snow!
ghostitem,.lang,items\lang\english\ghostitem.lang,Ghost,Ghost,the,a,this,A lost spirit that remains in this world to haunt the living.
giftboxitem,.lang,items\lang\english\giftboxitem.lang,Gift Box,Gift Box,the,a,this,Almost any cat would love to receive a present wrapped as beautifully as this.
gloomsharditem,.lang,items\lang\english\gloomsharditem.lang,Gloomshard,Gloomshard,the,a,this,A tiny fragment of a gemstone found only in the darkest of caves.
gloweritem,.lang,items\lang\english\gloweritem.lang,Glower,Glower,the,a,this,A living creature with basalt-like skin. Its eerie eyes pierce the darkness of the mines. Infamous for its bad temper.
glowingmushroomsfurnitureitem,.lang,items\lang\english\glowingmushroomsfurnitureitem.lang,Glowing Mushrooms Furniture,Glowing Mushrooms,the,a,this,"Harvested from deep underground, this cluster of strange mushrooms sheds a pale, green light on all its surroundings."
glowpotionitem,.lang,items\lang\english\glowpotionitem.lang,Glow Potion,Glow Potion,the,a,this,This spooky item will make your fur shine a bright luminescent color for one minute. Single-use.
goldcavecricketitem,.lang,items\lang\english\goldcavecricketitem.lang,Gold Cave Cricket,Gold Cave Cricket,the,a,this,"Its crooked torso shines with an unnatural light, even in the gloomiest of caves. They like warm, dark places."
goldcrownaccessoryitem,.lang,items\lang\english\goldcrownaccessoryitem.lang,Gold Crown Accessory,Gold Crown,the,a,this,Look regal while you're out and about!
goldensealfairitem,.lang,items\lang\english\goldensealfairitem.lang,Goldenseal [Fair],Goldenseal,the,a,this,"A green, leafy plant with a bright red berry. Can be applied to a wound for immediate relief."
goldensealgooditem,.lang,items\lang\english\goldensealgooditem.lang,Goldenseal [Good],Goldenseal,the,a,this,"A green, leafy plant with a large red berry. Can be applied to a wound for immediate relief."
goldensealpooritem,.lang,items\lang\english\goldensealpooritem.lang,Goldenseal [Poor],Goldenseal,the,a,this,"A green, leafy plant with a small red berry. Can be applied to a wound for immediate relief."
goldensealseedsitem,.lang,items\lang\english\goldensealseedsitem.lang,Goldenseal Seeds,Goldenseal Seeds,the,a,these,Tiny black seeds yielded from a goldenseal plant. Sow these in the garden and watch them grow!
goldensealseedsrecipeitem,.lang,items\lang\english\goldensealseedsrecipeitem.lang,Goldenseal Seeds Recipe,Goldenseal Seeds Recipe,the,a,this,Grow goldenseal in your garden with these seeds! Goldenseal is well-known for its healing properties.
goldfishbowlfurnitureitem,.lang,items\lang\english\goldfishbowlfurnitureitem.lang,Goldfish Bowl Furniture,Goldfish Bowl,the,a,this,A lively goldfish resides in this spherical bowl. It looks quite appetizing.
goldoreitem,.lang,items\lang\english\goldoreitem.lang,Gold Ore,Gold Ore,the,a,this,A river of valuable gold ore encased in stone.
granitecrabitem,.lang,items\lang\english\granitecrabitem.lang,Granite Crab,Granite Crab,the,a,this,A cave dwelling crab with granite-like skin. These critters love to nestle underneath boulders.
graniteitem,.lang,items\lang\english\graniteitem.lang,Granite,Granite,the,a,this,A lump of unpolished granite rock.
greedypawaccessoryitem,.lang,items\lang\english\greedypawaccessoryitem.lang,Greedy Paw Accessory,Greedy Paw,the,a,this,"While wearing this magical amulet, nearby items will be magnetically drawn into your inventory automatically."
greenfireflyitem,.lang,items\lang\english\greenfireflyitem.lang,Green Firefly,Green Firefly,the,a,this,A glowing summer bug that shines bright green.
greenscarfaccessoryitem,.lang,items\lang\english\greenscarfaccessoryitem.lang,Green Scarf Accessory,Green Scarf,the,a,this,Now you can be cozy and stylish at the same time!
greybeakyaccessoryitem,.lang,items\lang\english\greybeakyaccessoryitem.lang,Grey Beaky Accessory,Grey Beaky,the,a,this,An odd mask made of a weathered material with a slender beak-like nose. Some believe it can protect the wearer from foul miasmas.
groovylampfurnitureitem,.lang,items\lang\english\groovylampfurnitureitem.lang,Groovy Lamp Furniture,Groovy Lamp,the,a,this,Mesmerizing glowing liquid moves around in this lamp under the heat of the recessed bulb. Far out!
haloaccessoryitem,.lang,items\lang\english\haloaccessoryitem.lang,Halo Accessory,Halo,the,a,this,An angelic look for your cat.
hardcurioitem,.lang,items\lang\english\hardcurioitem.lang,Hard Curio,Hard Curio,the,a,this,A plastic disk-shaped object with an odd spiraling groove on the inside.
hareitem,.lang,items\lang\english\hareitem.lang,Hare,Hare,the,a,this,"A large rabbit-like creature with long, dark-tipped ears."
headlampaccessoryitem,.lang,items\lang\english\headlampaccessoryitem.lang,Headlamp Accessory,Headlamp,the,a,this,"A powerful flashlight, built by moles for their long delves into the dark places of the world. Wearing it will illuminate your surroundings."
headlampupgradeiiiitem,.lang,items\lang\english\headlampupgradeiiiitem.lang,Headlamp Upgrade III,Headlamp Upgrade III,the,a,this,"Greatly strengthens the power of your Headlamp accessory, increasing the area of illumination. Requires Headlamp Upgrade II."
headlampupgradeiiitem,.lang,items\lang\english\headlampupgradeiiitem.lang,Headlamp Upgrade II,Headlamp Upgrade II,the,a,this,"Moderately strengthens the power of your Headlamp accessory, increasing the area of illumination. Requires Headlamp Upgrade I."
headlampupgradeiitem,.lang,items\lang\english\headlampupgradeiitem.lang,Headlamp Upgrade I,Headlamp Upgrade I,the,a,this,"Slightly strengthens the power of your Headlamp accessory, increasing the area of illumination. Requires Headlamp Accessory."
headlampupgraderecipeitem,.lang,items\lang\english\headlampupgraderecipeitem.lang,Headlamp Upgrade Recipe,Headlamp Upgrade,the,a,this,"Strengthens the power of your Headlamp accessory, increasing the area of illumination."
heavycurioitem,.lang,items\lang\english\heavycurioitem.lang,Heavy Curio,Heavy Curio,the,a,this,A heavy metal ring attached to even heavier metal objects.
herbalistworkbenchfurnitureitem,.lang,items\lang\english\herbalistworkbenchfurnitureitem.lang,Herbalist Workbench Furniture,Herbalist Workbench,the,an,this,Crafting Station. A stone workbench with all the tools necessary to process herbs into more potent concoctions. Use to craft powerful potions.
hermitbeetleitem,.lang,items\lang\english\hermitbeetleitem.lang,Hermit Beetle,Hermit Beetle,the,a,this,A large beetle with a pale blue shell.
