file,extension,path,lang_task_title,lang_task_description,lang_task_in_progress_dialog,lang_task_complete_dialog
mousemorsel,.lang,tasks\lang\english\mousemorsel.lang,Mouse Morsel,I would like to eat a few Mice for dinner. Surely someone has a couple extra laying around?,"[neutral]I am hungry for [green]Mice[/green], preferably the fresh kind. But I'll take what I can get.///[thinking]Any chance you have a few extra laying around in your storage, #player_name#?","[happy]These do not disappoint! They look quite plump and fresh. Good hunting, #player_name#.///[neutral]If you'll excuse me, I have some [green]Mice[/green] to chow down on. Thanks to you, of course."
naturesbounty,.lang,tasks\lang\english\naturesbounty.lang,Nature's Bounty,"There's no shortage of herbs growing in the wilderness, but they're much more useful to us after they've been found and harvested by someone like you. You can keep what you find.","[neutral]It's an odd request, but we need some cat to find a bundle of herbs that are growing out in the wilderness.///[thinking]We can't make use of them if we don't know where they are, after all.///[neutral]Once you've found them you can keep them for yourself. We just need extra herbs in circulation, that's all.","[neutral]It looks from the stains on your paws that you found quite enough herbs for now. Good work out there #player_name#.///[thinking]It's up to you to decide what you'd like to do with them. Sell them, use them, or give them out. It's all the same to me!"
nightharvest,.lang,tasks\lang\english\nightharvest.lang,Night Harvest,Have you heard of the Queen of the Night? It's a rare flower that only blossoms in the evening hours. I would like one for my den.,"[shocked]My only [green]Queen of the Night[/green] flower has withered! Now my den table looks empty and sad. What ever is a cat to do?///[neutral]I cannot wander into the meadows at night. I am in need of your assistance to find another [green]Queen of the Night[/green] for my table.///[happy]I would be most grateful for your help.///[neutral]These flowers only bloom in the evening hours, so narrow your search to the nighttime if you wish to succeed.","[happy]Oh, what a glorious bloom! Its petals remind me of a winter evening. How precious it is to look upon, wouldn't you agree?///[playful]I am ever so grateful for your help, #player_name#. Without you I would have no [green]Queen of the Night[/green] to brighten my mornings and make me smile."
ofafeather,.lang,tasks\lang\english\ofafeather.lang,Of a Feather,I seek a bird with speckles akin to mine. Find it for me at once!,"[neutral]Some birds have beautiful speckles akin to my own. These birds seem to be quite rare. Quite rare, indeed.///[thinking]Find me one and you shall be greatly rewarded.",[happy]You have done well in finding this exceptional bird. I have done well in finding these exceptional [green]Task Tokens[/green] for you.
ohrats,.lang,tasks\lang\english\ohrats.lang,"Oh, Rats","You ever been bit by a rat? It's not a pleasant experience. Trust me. The fewer rats around, the happier a mole I'll be.",[neutral]I got bit by a massive rat once many years ago. Never forgot how it felt. Those fangs are not to be underestimated.///[neutral]I say we thin out the rats. Keep my moles safer.///[neutral]Easiest to find them on poisonous mine floors. Go figure.,"[neutral]I heard you found some rats. Alright, hand 'em over. No need to get all sentimental.///[neutral]And here's your pay for a hard day's work."
peaceoffering,.lang,tasks\lang\english\peaceoffering.lang,Peace Offering,I have been trying to make friends with all my neighbors and I think having some Doves to offer as a gift would help me immensely. Is anyone free to hunt some on my behalf?,"[neutral]I understand the [green]Dove[/green] is a traditional gift in many cultures. I would like to extend a kindness to my neighbors by offering them each a [green]Dove[/green].///[neutral]But I cannot leave the garden unattended, so I have put out the call for aid. Are you able to find my errant [green]Doves[/green], #player_name#?","[happy]Ah, these will do perfectly. They will be the perfect gifts when paired with fresh herbs from my supplies.///[playful]I thank you for your generous service, #player_name#. I will not forget this kindness."
peskysquirrels,.lang,tasks\lang\english\peskysquirrels.lang,Pesky Squirrels,These darned Squirrels keep climbing on the den and tearing up the roof! Somebody needs to put an end to their thievery.,[shocked]I barely slept last night with those darned [green]Squirrels[/green] keeping me up. They're so noisy when they run across the roof!///[thinking]I think they're stealing the branches to build their own nests. I have to keep checking the roof and repairing the holes they leave behind.///[angry]I'd really appreciate it if somebody could put an end to their antics.,"[playful]Yes, there's those pesky [green]Squirrels[/green]! Looks like you rounded them all up. I haven't heard them on the roof recently so I think that's enough for now.///[happy]Thanks for your assistance, #player_name#."
pickmeup,.lang,tasks\lang\english\pickmeup.lang,Pick-me-up,I hate to be a bother but I ran out of Valerian the other day. Anybody care to harvest some on my behalf? Probably not...,"[sad]Oh, it's just terrible. I'm all out of [green]Valerian[/green]. On days like these I could use the extra energy but I haven't got any left.///[sad]It's probably a sign that I should just go back to bed...","[shocked]Woah, you actually went out and collected this... for me? I don't know what to say...///[playful]That's super nice of you #player_name#. I didn't think anyone would even see that I put out the request. Thanks."
pinchers,.lang,tasks\lang\english\pinchers.lang,Pinchers,"Can't even go to the beach without getting attacked by those menacing Crabs. Hey, somebody interested in thinning their numbers?",[angry]I was down at the beach trying to catch some fish when all of a sudden an angry [green]Crab[/green] ran after me!///[sad]You ever been pinched by a [green]Crab[/green]? I wouldn't recommend it.,[neutral]Did you take down some of those awful [green]Crabs[/green]? Great. Now I can return to the beach and not have to worry as much.
powerfulplants,.lang,tasks\lang\english\powerfulplants.lang,Powerful Plants,"Hey, got any Snake Lily to spare? I need some before my next adventure. I'm planning on picking a fight or two with those Voidlings.",[thinking][green]Snake Lily[/green]. It's a plant with a weird-looking purple bulb on the end. Think you can manage that?///[neutral]Take care when handling it. It's poisonous you know.,"[happy]Hey, that's what I'm looking for! Great. Those Voidling cats won't know what hit them.///[neutral]I'll be sure to put these [green]Snake Lilies[/green] to good use. Don't you worry about that."
prettyandpainful,.lang,tasks\lang\english\prettyandpainful.lang,Pretty & Painful,I can't fight at my peak performance if I don't have some Foxglove to apply to my claws. I know it's rare but can someone track some down for me?,"[neutral]I'm supposed to be out on the frontlines, kicking it with all the best and the brightest soldiers! But I ran out of [green]Foxglove[/green].///[thinking]I need some more before I get into another fight. You got any extra laying around, #player_name#?","[happy]I knew you'd come through, #player_name#. That's just what I needed to get back into the swing of things.///[playful]Those Voidling cats better beware now that #npc_name_champ# is back in the fight!"
quartzdecor,.lang,tasks\lang\english\quartzdecor.lang,Quartz Decor,"In preparation for the upcoming festival, I need more Quartz to make some of the decorations. I can't spare a paw to mine it myself. Any takers?","[shocked]I'm in a bit of a pickle. I need more [green]Quartz[/green] to make the decor for the upcoming festival, but my schedule is too full to go mining myself.///[neutral]Any chance you could head into the caves and find some for me? That would be extremely helpful.","[happy]Oh, there's the [green]Quartz[/green] I need! And just in time, too.///[neutral]You've saved the day once again, #player_name#. I'm indebted to you for your help."
reddragon,.lang,tasks\lang\english\reddragon.lang,Red Dragon,"Well now, have you seen those red colored dragonflies flying about? I think I want one for myself.","[thinking]Pardon my asking, but I'd really like to get my paws on a [green]Banded Darter[/green]. They're just about the prettiest bugs you ever did see!///[neutral]But I'm not in no hurry, so if you happen to see one, you bring it my way. They should be around 'til the end of autumn I reckon.","[happy]That's one of those shiny red [green]Banded Darter[/green]s, ain't it? Yep, looks just like it. I reckon it took you some time to track down this beaut of a bug.///[neutral]A deal's a deal so I'll give you your reward now. Much obliged, #player_name#."
researchproject,.lang,tasks\lang\english\researchproject.lang,Research Project,I want to know more about the plants that grow nearby! Looking for someone to pick a few and tell me about their properties.,"[neutral]Oh, you heard about my project? Yeah, I'm thinking about writing a book about plants, but I don't know a whole lot about them.///[playful]That's where you come in! I need someone to find a bunch of plants growing in the wild and to tell me all about what they find. Can you do that for me?","[happy]Oh, nice! You already found all those plants? That's great!///[thinking]Tell me a little bit about each one and I'll even let you keep them. I'm mostly just curious about what types of plants grow nearby.///[happy]Thanks, #player_name#! I couldn't have done it without you."
seasidesouvenir,.lang,tasks\lang\english\seasidesouvenir.lang,Seaside Souvenir,"I know it's a long shot, but does any cat have a spare Conch shell laying around? I've been looking for one for ages!","[shocked]I heard if you put your ear up to a [green]Conch[/green] shell, you can hear the ocean inside!///[neutral]Ever since I heard that rumor I just have to try it for myself. Is it true?///[shocked]I guess there's only one way to find out!","[shocked]Woah, a real [green]Conch[/green] shell! Do you think I'll actually hear the ocean if I put it up to my ear? Here goes...///[happy]Hey, that does kinda sound like the ocean! Wow, this is great fun!///[playful]Thanks for finding this for me."
shadowstone,.lang,tasks\lang\english\shadowstone.lang,Shadow-stone,In the darkest caves there lies a special gemstone that I require. I must have it soon...,"[shocked]I am in no mood to speak on the details of my request! I simply must acquire a few of the gemstones known as [green]Pitlodes[/green], and I must acquire them with haste!","[playful]You have the gemstones I require? Good, good... I was beginning to lose hope that you would deliver them unto me.///[neutral]You have proven yourself a worthy ally."
shrewsouffle,.lang,tasks\lang\english\shrewsouffle.lang,Shrew Souffle,"I'd like to try my hand at cooking a new recipe, but I'm all out of Shrews. Does anyone have some spare time to track a couple down for me? That would be so nice!","[neutral]I had the most delightful dish called [red]Shrew Souffle[/red] many years ago. I've recently stumbled across a recipe to make the dish but I can't source the ingredients myself.///[shocked]All I need is a couple of [green]Shrews[/green]! Hey #player_name#, you're a pretty good hunter, aren't you? Think you could track them down for me?","[playful]Oh, this is so exciting! There's the [green]Shrews[/green] I need for my recipe! Thanks #player_name#.///[thinking]I sure hope this turns out half as good as I remember it tasting..."
skirmishes,.lang,tasks\lang\english\skirmishes.lang,Skirmishes,There always seems to be fighting somewhere in the wilderness. We need a capable soldier to join the fray and beat back the baddies.,"[neutral]You're here to ask about the task I posted? Yes, we need more soldiers on the front lines.///[thinking]Every day it seems a couple skirmishes crop up. You can find them on your Map.///[neutral]We need you to jump into a couple of those battles and fight for our #colony_title#. Can you do that, #player_name#?","[happy]I heard you did quite well out in the field. They say that you fight with the strength of ten cats.///[playful]We're very lucky to have you as our #leader_title#, #player_name#."
slimysnack,.lang,tasks\lang\english\slimysnack.lang,Slimy Snack,"I have a need for Frogs but I'm never around the swamp. If any cat is headed that way, I'd appreciate your assistance.","[neutral]Ah yes, you saw my post on the Task Board? I am looking for some [green]Frogs[/green] from the swamp to the southwest.///[shocked]Not for me, mind you! The texture leaves a lot to be desired. They are meant to be gifted.///[neutral]A well thought-out gift goes a long way to making friends, #player_name#.","[shocked]Ah, there's those [green]Frogs[/green]. Quite unappealing to the touch, but I am told they make for a rare delicacy among certain communities.///[neutral]I'll take those off your paws. I appreciate your assistance, #player_name#. I won't forget it."
spelunking,.lang,tasks\lang\english\spelunking.lang,Spelunking,Wanted: a cat with a hankering for exploration and adventure. Need to scout out a new route through the mines.,"[neutral]Corporate wants us to find new routes to get to the bottom of the mine. Union says we've got to find a more stable tunnel that won't cave in as often.///[neutral]Bah, they're always taking up my miners' precious time. I can't spare a mole to do the digging so I hired you. Think you're up for the challenge?","[neutral]You're all covered in soot and rubble! You should see your fur, it's looking pretty sad.///[neutral]Anyhow, I can see from your appearance that you've done as I asked and are here for your reward. Take it, you've earned it.///[neutral]I'll post another job to the board if we need your digging expertise again. Now get outta here, I've got work to do!"
squeakers,.lang,tasks\lang\english\squeakers.lang,Squeakers,"My moles are getting unnerved by those annoying bats. They're everywhere down in the caves. We need a specialist to come in and take a few down, alright?","[neutral]Can't hardly get any work done around here with all that squeaking noise coming from down below! It's driving us all batty.///[neutral]The quicker you take care of the issue, the more productive my moles can be. So get on it fast!","[neutral]Eh? You took out the bats like I asked? That explains why it seems so quiet around here.///[neutral]Fine, here's your [green]Task Tokens[/green] as promised. Good work. I'll let you know if they come back, ok?"
stonestudy,.lang,tasks\lang\english\stonestudy.lang,Stone Study,Do you know of the seasonal Carvings in the wilderness? There are four in total. I am looking for a cat with a penchant for archeology to visit a couple of these Carvings and report back.,"[neutral]Yes, #player_name#? You had questions about the task I posted?///[thinking]I'd like to send a cat to survey a few of the [orange]seasonal Carvings[/orange] that stand around the wilderness. There are four in total but I only need you to visit two.///[neutral]Then report back. I do not know their full story, but with regular visits and study perhaps we can figure it out together.","[thinking]You visited the [orange]seasonal Carvings[/orange]? Excellent work, #player_name#. Was anything out of place or amiss?///[neutral]No? They were just as they have always been? That's good. It would be alarming if they had changed.///[thinking]Anyways, here is your reward. Thank you for helping me out."
