file,extension,path,lang_world_object_name
deadtreee,.lang,world_objects\lang\spanish\deadtreee.lang,Árbol seco E
deadtreef,.lang,world_objects\lang\spanish\deadtreef.lang,Árbol seco F
deadtreeg,.lang,world_objects\lang\spanish\deadtreeg.lang,Árbol seco G
deadtreeh,.lang,world_objects\lang\spanish\deadtreeh.lang,Árbol seco H
deadtreei,.lang,world_objects\lang\spanish\deadtreei.lang,Árbol seco I
deadtreej,.lang,world_objects\lang\spanish\deadtreej.lang,Árbol seco J
foundersstone,.lang,world_objects\lang\spanish\foundersstone.lang,Piedra Fundacional
garden,.lang,world_objects\lang\spanish\garden.lang,Jardín
gnarledtreea,.lang,world_objects\lang\spanish\gnarledtreea.lang,Árbol retorcido A
gnarledtreeb,.lang,world_objects\lang\spanish\gnarledtreeb.lang,Árbol retorcido B
gnarledtreec,.lang,world_objects\lang\spanish\gnarledtreec.lang,Árbol retorcido C
gnarledtreed,.lang,world_objects\lang\spanish\gnarledtreed.lang,Árbol retorcido D
gnarledtreee,.lang,world_objects\lang\spanish\gnarledtreee.lang,Árbol retorcido E
greenthornsa,.lang,world_objects\lang\spanish\greenthornsa.lang,Espinas verdes A
greenthornsb,.lang,world_objects\lang\spanish\greenthornsb.lang,Espinas verdes B
greenthornsc,.lang,world_objects\lang\spanish\greenthornsc.lang,Espinas verdes C
greenthornsd,.lang,world_objects\lang\spanish\greenthornsd.lang,Espinas verdes D
greenthornse,.lang,world_objects\lang\spanish\greenthornse.lang,Espinas verdes E
greenthornsf,.lang,world_objects\lang\spanish\greenthornsf.lang,Espinas verdes F
greenthornsg,.lang,world_objects\lang\spanish\greenthornsg.lang,Espinas verdes G
greenthornsh,.lang,world_objects\lang\spanish\greenthornsh.lang,Espinas verdes H
greenthornsi,.lang,world_objects\lang\spanish\greenthornsi.lang,Espinas verdes I
greenthornsj,.lang,world_objects\lang\spanish\greenthornsj.lang,Espinas verdes J
greenthornsk,.lang,world_objects\lang\spanish\greenthornsk.lang,Espinas verdes K
greenthornsl,.lang,world_objects\lang\spanish\greenthornsl.lang,Espinas verdes L
greenthornsm,.lang,world_objects\lang\spanish\greenthornsm.lang,Espinas verdes M
greenthornsn,.lang,world_objects\lang\spanish\greenthornsn.lang,Espinas verdes N
greenthornso,.lang,world_objects\lang\spanish\greenthornso.lang,Espinas verdes O
greenthornsp,.lang,world_objects\lang\spanish\greenthornsp.lang,Espinas verdes P
greenthornsq,.lang,world_objects\lang\spanish\greenthornsq.lang,Espinas verdes Q
greenthornsr,.lang,world_objects\lang\spanish\greenthornsr.lang,Espinas verdes R
lamppost,.lang,world_objects\lang\spanish\lamppost.lang,Farola
mailbox,.lang,world_objects\lang\spanish\mailbox.lang,Buzón
oakstumpa,.lang,world_objects\lang\spanish\oakstumpa.lang,Tocón de roble A
oakstumpb,.lang,world_objects\lang\spanish\oakstumpb.lang,Tocón de roble B
oakstumpc,.lang,world_objects\lang\spanish\oakstumpc.lang,Tocón de roble C
oakstumpd,.lang,world_objects\lang\spanish\oakstumpd.lang,Tocón de roble D
oakstumpe,.lang,world_objects\lang\spanish\oakstumpe.lang,Tocón de roble E
oaktreea,.lang,world_objects\lang\spanish\oaktreea.lang,Roble A
oaktreeb,.lang,world_objects\lang\spanish\oaktreeb.lang,Roble B
oaktreec,.lang,world_objects\lang\spanish\oaktreec.lang,Roble C
oaktreed,.lang,world_objects\lang\spanish\oaktreed.lang,Roble D
oaktreee,.lang,world_objects\lang\spanish\oaktreee.lang,Roble E
oaktreef,.lang,world_objects\lang\spanish\oaktreef.lang,Roble F
oaktreeg,.lang,world_objects\lang\spanish\oaktreeg.lang,Roble G
oaktreeh,.lang,world_objects\lang\spanish\oaktreeh.lang,Roble H
oaktreei,.lang,world_objects\lang\spanish\oaktreei.lang,Roble I
oaktreej,.lang,world_objects\lang\spanish\oaktreej.lang,Roble J
palmtreea,.lang,world_objects\lang\spanish\palmtreea.lang,Palmera A
palmtreeb,.lang,world_objects\lang\spanish\palmtreeb.lang,Palmera B
palmtreec,.lang,world_objects\lang\spanish\palmtreec.lang,Palmera C
palmtreed,.lang,world_objects\lang\spanish\palmtreed.lang,Palmera D
palmtreee,.lang,world_objects\lang\spanish\palmtreee.lang,Palmera E
palmtreef,.lang,world_objects\lang\spanish\palmtreef.lang,Palmera F
palmtreeg,.lang,world_objects\lang\spanish\palmtreeg.lang,Palmera G
palmtreeh,.lang,world_objects\lang\spanish\palmtreeh.lang,Palmera H
palmtreei,.lang,world_objects\lang\spanish\palmtreei.lang,Palmera I
palmtreej,.lang,world_objects\lang\spanish\palmtreej.lang,Palmera J
pinestumpa,.lang,world_objects\lang\spanish\pinestumpa.lang,Tocón de pino A
pinestumpb,.lang,world_objects\lang\spanish\pinestumpb.lang,Tocón de pino B
pinestumpc,.lang,world_objects\lang\spanish\pinestumpc.lang,Tocón de pino C
pinestumpd,.lang,world_objects\lang\spanish\pinestumpd.lang,Tocón de pino D
pinestumpe,.lang,world_objects\lang\spanish\pinestumpe.lang,Tocón de pino E
pinetreea,.lang,world_objects\lang\spanish\pinetreea.lang,Pino A
pinetreeb,.lang,world_objects\lang\spanish\pinetreeb.lang,Pino B
pinetreec,.lang,world_objects\lang\spanish\pinetreec.lang,Pino C
pinetreed,.lang,world_objects\lang\spanish\pinetreed.lang,Pino D
pinetreee,.lang,world_objects\lang\spanish\pinetreee.lang,Pino E
pinetreef,.lang,world_objects\lang\spanish\pinetreef.lang,Pino F
pinetreeg,.lang,world_objects\lang\spanish\pinetreeg.lang,Pino G
pinetreeh,.lang,world_objects\lang\spanish\pinetreeh.lang,Pino H
pinetreei,.lang,world_objects\lang\spanish\pinetreei.lang,Pino I
pinetreej,.lang,world_objects\lang\spanish\pinetreej.lang,Pino J
purplethornsa,.lang,world_objects\lang\spanish\purplethornsa.lang,Espinas moradas A
purplethornsb,.lang,world_objects\lang\spanish\purplethornsb.lang,Espinas moradas B
purplethornsc,.lang,world_objects\lang\spanish\purplethornsc.lang,Espinas moradas C
purplethornsd,.lang,world_objects\lang\spanish\purplethornsd.lang,Espinas moradas D
purplethornse,.lang,world_objects\lang\spanish\purplethornse.lang,Espinas moradas E
purplethornsf,.lang,world_objects\lang\spanish\purplethornsf.lang,Espinas moradas F
purplethornsg,.lang,world_objects\lang\spanish\purplethornsg.lang,Espinas moradas G
redcrystallamp,.lang,world_objects\lang\spanish\redcrystallamp.lang,Lámpara de cristal rojo
rocka,.lang,world_objects\lang\spanish\rocka.lang,Roca A
rockb,.lang,world_objects\lang\spanish\rockb.lang,Roca B
rockc,.lang,world_objects\lang\spanish\rockc.lang,Roca C
rockd,.lang,world_objects\lang\spanish\rockd.lang,Roca D
rocke,.lang,world_objects\lang\spanish\rocke.lang,Roca E
rockf,.lang,world_objects\lang\spanish\rockf.lang,Roca F
rockg,.lang,world_objects\lang\spanish\rockg.lang,Roca G
rockh,.lang,world_objects\lang\spanish\rockh.lang,Roca H
rocki,.lang,world_objects\lang\spanish\rocki.lang,Roca I
rockj,.lang,world_objects\lang\spanish\rockj.lang,Roca J
ruinsa,.lang,world_objects\lang\spanish\ruinsa.lang,Ruinas A
ruinsb,.lang,world_objects\lang\spanish\ruinsb.lang,Ruinas B
ruinsc,.lang,world_objects\lang\spanish\ruinsc.lang,Ruinas C
ruinsd,.lang,world_objects\lang\spanish\ruinsd.lang,Ruinas D
ruinse,.lang,world_objects\lang\spanish\ruinse.lang,Ruinas E
ruinsf,.lang,world_objects\lang\spanish\ruinsf.lang,Ruinas F
ruinsg,.lang,world_objects\lang\spanish\ruinsg.lang,Ruinas G
ruinsh,.lang,world_objects\lang\spanish\ruinsh.lang,Ruinas H
ruinsi,.lang,world_objects\lang\spanish\ruinsi.lang,Ruinas I
ruinsj,.lang,world_objects\lang\spanish\ruinsj.lang,Ruinas J
seedmaker,.lang,world_objects\lang\spanish\seedmaker.lang,Semilladora
signpost,.lang,world_objects\lang\spanish\signpost.lang,Poste indicador
stonefencea,.lang,world_objects\lang\spanish\stonefencea.lang,Valla de piedra A
stonefenceb,.lang,world_objects\lang\spanish\stonefenceb.lang,Valla de piedra B
stonefencec,.lang,world_objects\lang\spanish\stonefencec.lang,Valla de piedra C
stonefenced,.lang,world_objects\lang\spanish\stonefenced.lang,Valla de piedra D
stonemarker,.lang,world_objects\lang\spanish\stonemarker.lang,Hito de piedra
storagecratewo,.lang,world_objects\lang\spanish\storagecratewo.lang,Caja de almacenamiento
streetlight,.lang,world_objects\lang\spanish\streetlight.lang,Poste de luz
taskboard,.lang,world_objects\lang\spanish\taskboard.lang,Pizarra de tareas
traditionallantern,.lang,world_objects\lang\spanish\traditionallantern.lang,Linterna tradicional
tropicalbusha,.lang,world_objects\lang\spanish\tropicalbusha.lang,Arbusto tropical A
tropicalbushb,.lang,world_objects\lang\spanish\tropicalbushb.lang,Arbusto tropical B
tropicalbushc,.lang,world_objects\lang\spanish\tropicalbushc.lang,Arbusto tropical C
tropicalbushd,.lang,world_objects\lang\spanish\tropicalbushd.lang,Arbusto tropical D
tropicalbushe,.lang,world_objects\lang\spanish\tropicalbushe.lang,Arbusto tropical E
warpnortheast,.lang,world_objects\lang\spanish\warpnortheast.lang,Túnel: Noreste
warpnorthwest,.lang,world_objects\lang\spanish\warpnorthwest.lang,Túnel: Noroeste
warpsoutheast,.lang,world_objects\lang\spanish\warpsoutheast.lang,Túnel: Sudeste
warpsouthwest,.lang,world_objects\lang\spanish\warpsouthwest.lang,Túnel: Sudoeste
willowstumpa,.lang,world_objects\lang\spanish\willowstumpa.lang,Tocón de sauce A
willowstumpb,.lang,world_objects\lang\spanish\willowstumpb.lang,Tocón de sauce B
willowstumpc,.lang,world_objects\lang\spanish\willowstumpc.lang,Tocón de sauce C
willowstumpd,.lang,world_objects\lang\spanish\willowstumpd.lang,Tocón de sauce D
willowstumpe,.lang,world_objects\lang\spanish\willowstumpe.lang,Tocón de sauce E
willowtreea,.lang,world_objects\lang\spanish\willowtreea.lang,Sauce A
willowtreeb,.lang,world_objects\lang\spanish\willowtreeb.lang,Sauce B
willowtreec,.lang,world_objects\lang\spanish\willowtreec.lang,Sauce C
willowtreed,.lang,world_objects\lang\spanish\willowtreed.lang,Sauce D
willowtreee,.lang,world_objects\lang\spanish\willowtreee.lang,Sauce E
willowtreef,.lang,world_objects\lang\spanish\willowtreef.lang,Sauce F
willowtreeg,.lang,world_objects\lang\spanish\willowtreeg.lang,Sauce G
willowtreeh,.lang,world_objects\lang\spanish\willowtreeh.lang,Sauce H
willowtreei,.lang,world_objects\lang\spanish\willowtreei.lang,Sauce I
willowtreej,.lang,world_objects\lang\spanish\willowtreej.lang,Sauce J
yellowthornsa,.lang,world_objects\lang\spanish\yellowthornsa.lang,Espinas amarillas A
yellowthornsb,.lang,world_objects\lang\spanish\yellowthornsb.lang,Espinas amarillas B
yellowthornsc,.lang,world_objects\lang\spanish\yellowthornsc.lang,Espinas amarillas C
yellowthornsd,.lang,world_objects\lang\spanish\yellowthornsd.lang,Espinas amarillas D
yellowthornse,.lang,world_objects\lang\spanish\yellowthornse.lang,Espinas amarillas E
yellowthornsf,.lang,world_objects\lang\spanish\yellowthornsf.lang,Espinas amarillas F
yellowthornsg,.lang,world_objects\lang\spanish\yellowthornsg.lang,Espinas amarillas G
yellowthornsh,.lang,world_objects\lang\spanish\yellowthornsh.lang,Espinas amarillas H
yellowthornsi,.lang,world_objects\lang\spanish\yellowthornsi.lang,Espinas amarillas I
yellowthornsj,.lang,world_objects\lang\spanish\yellowthornsj.lang,Espinas amarillas J
yellowthornsk,.lang,world_objects\lang\spanish\yellowthornsk.lang,Espinas amarillas K
yellowthornsl,.lang,world_objects\lang\spanish\yellowthornsl.lang,Espinas amarillas L
yellowthornsm,.lang,world_objects\lang\spanish\yellowthornsm.lang,Espinas amarillas M
yellowthornsn,.lang,world_objects\lang\spanish\yellowthornsn.lang,Espinas amarillas N
yellowthornso,.lang,world_objects\lang\spanish\yellowthornso.lang,Espinas amarillas O
